,year,mean,max,max_countries,minimum,min_countries,median,std
0,2000,214.99,682.6,Zimbabwe,75055.0,Antigua and Barbuda,7763956.0,127388973.97
1,2001,212.81,693.9,Zimbabwe,76215.0,Antigua and Barbuda,7756287.5,128904359.47
2,2002,211.24,704.8,Zimbabwe,77195.0,Antigua and Barbuda,7666841.5,130380968.43
3,2003,209.41,709.9,Zimbabwe,78075.0,Antigua and Barbuda,7717267.5,131815507.57
4,2004,206.4,707.1,Zimbabwe,78941.0,Antigua and Barbuda,7805707.0,133227719.76
5,2005,203.24,732.5,Lesotho,79869.0,Antigua and Barbuda,7904195.5,134619162.62
6,2006,198.17,743.5,Lesotho,80895.0,Antigua and Barbuda,8006920.5,135965675.58
7,2007,193.65,710.9,Lesotho,82016.0,Antigua and Barbuda,8120048.0,137273927.47
8,2008,188.82,659.6,Lesotho,83251.0,Antigua and Barbuda,8299802.5,138568850.74
9,2009,184.05,631.4,Lesotho,84534.0,Antigua and Barbuda,8526344.5,139851310.39
10,2010,181.79,675.7,Haiti,85695.0,Antigua and Barbuda,8768051.5,141136514.15
11,2011,177.45,652.0,Somalia,86729.0,Antigua and Barbuda,8897793.0,142469819.14
12,2012,172.7,609.7,Lesotho,87674.0,Antigua and Barbuda,9044075.5,143895991.5
13,2013,169.16,615.6,Lesotho,88497.0,Antigua and Barbuda,9188729.0,145303824.29
14,2014,168.54,627.4,Lesotho,89236.0,Antigua and Barbuda,9288180.5,146665488.43
15,2015,166.04,629.5,Lesotho,89941.0,Antigua and Barbuda,9477661.0,147972075.05
