,year,mean,max,max_countries,minimum,min_countries,median,std
0,2000,24.19,30.18,Tonga,19.75,Ethiopia,24.6,2.21
1,2001,24.27,30.21,Tonga,19.79,Ethiopia,24.7,2.22
2,2002,24.35,30.24,Tonga,19.83,Ethiopia,24.78,2.22
3,2003,24.43,30.27,Tonga,19.86,Ethiopia,24.86,2.22
4,2004,24.52,30.3,Tonga,19.89,Ethiopia,24.98,2.23
5,2005,24.6,30.32,Tonga,19.92,Ethiopia,25.08,2.23
6,2006,24.68,30.35,Tonga,19.95,Ethiopia,25.13,2.24
7,2007,24.76,30.38,Tonga,19.97,Ethiopia,25.24,2.24
8,2008,24.83,30.41,Tonga,19.98,Ethiopia,25.34,2.25
9,2009,24.91,30.45,Tonga,20.0,Ethiopia,25.44,2.25
10,2010,24.98,30.48,Tonga,20.01,Ethiopia,25.51,2.26
11,2011,25.06,30.52,Tonga,20.03,Ethiopia,25.56,2.27
12,2012,25.13,30.56,Tonga,20.04,Ethiopia,25.62,2.28
13,2013,25.2,30.6,Tonga,20.06,Ethiopia,25.7,2.29
14,2014,25.27,30.64,Tonga,20.08,Ethiopia,25.8,2.29
15,2015,25.35,30.68,Tonga,20.09,Ethiopia,25.92,2.3
