,year,mean,max,max_countries,minimum,min_countries,median,std
0,2000,20.34,60.8,Afghanistan,1.5,Singapore,16.5,15.43
1,2001,19.79,59.7,Afghanistan,1.5,Singapore,15.65,15.13
2,2002,19.23,58.6,Afghanistan,1.3,Singapore,14.7,14.81
3,2003,18.71,57.4,Afghanistan,1.2,Singapore,14.1,14.52
4,2004,18.21,56.1,Afghanistan,1.3,Singapore,13.8,14.24
5,2005,17.7,54.8,Afghanistan,1.3,Japan,13.25,13.95
6,2006,17.23,53.5,Afghanistan,1.3,Singapore,12.5,13.69
7,2007,16.77,52.2,Afghanistan,1.1,Singapore,11.95,13.43
8,2008,16.34,50.9,Pakistan,1.2,Japan,11.7,13.17
9,2009,15.9,50.8,Pakistan,1.1,Japan,11.4,12.9
10,2010,15.49,50.5,Pakistan,1.0,Japan,10.85,12.65
11,2011,15.07,50.1,Pakistan,1.0,Japan,10.4,12.36
12,2012,14.68,49.3,Pakistan,0.9,Japan,10.25,12.09
13,2013,14.29,48.3,Pakistan,0.9,Japan,9.95,11.82
14,2014,13.93,47.3,Pakistan,0.9,Japan,9.85,11.54
15,2015,13.56,46.2,Pakistan,0.8,Japan,9.45,11.29
