,year,mean,max,max_countries,minimum,min_countries,median,std
0,2000,8.58,32.2,The former Yugoslav republic of Macedonia,0.6,Pakistan,6.92,6.2
1,2001,8.53,30.52,The former Yugoslav republic of Macedonia,0.6,Pakistan,6.96,6.19
2,2002,8.63,31.94,The former Yugoslav republic of Macedonia,0.6,Pakistan,6.9,6.21
3,2003,8.63,36.69,The former Yugoslav republic of Macedonia,0.6,Pakistan,6.94,6.2
4,2004,8.46,37.16,The former Yugoslav republic of Macedonia,0.59,Pakistan,6.8,6.07
5,2005,8.24,37.32,The former Yugoslav republic of Macedonia,0.58,Pakistan,7.12,6.02
6,2006,7.81,36.39,The former Yugoslav republic of Macedonia,0.58,Pakistan,6.5,5.79
7,2007,7.41,35.23,The former Yugoslav republic of Macedonia,0.4,Pakistan,6.0,5.59
8,2008,7.24,33.93,The former Yugoslav republic of Macedonia,0.31,Qatar,5.79,5.36
9,2009,8.04,32.35,The former Yugoslav republic of Macedonia,0.31,Qatar,6.66,5.56
10,2010,8.21,33.14,The former Yugoslav republic of Macedonia,0.45,Qatar,6.96,5.91
11,2011,8.14,31.5,The former Yugoslav republic of Macedonia,0.32,Niger,6.62,5.95
12,2012,8.21,31.1,The former Yugoslav republic of Macedonia,0.48,Qatar,6.76,6.1
13,2013,8.23,29.02,The former Yugoslav republic of Macedonia,0.25,Thailand,6.44,6.19
14,2014,8.06,28.22,The former Yugoslav republic of Macedonia,0.2,Qatar,6.17,6.01
15,2015,7.98,27.7,Bosnia and Herzegovina,0.17,Qatar,6.41,5.87
