,year,mean,max,minimum,min_country,median,std,25%,75%,iqr
0,2000,53.39,70.76,44.52,Malawi,51.57,6.57,48.58,58.14,9.55
1,2001,53.9,71.64,41.96,Zimbabwe,52.39,6.72,49.22,58.46,9.23
2,2002,54.59,71.94,44.56,Zimbabwe,52.8,6.51,50.57,58.82,8.25
3,2003,55.19,72.41,43.39,Zimbabwe,53.2,6.58,51.0,59.4,8.39
4,2004,55.94,72.47,44.5,Zimbabwe,54.8,6.43,52.04,59.91,7.86
5,2005,56.56,72.77,44.77,Zimbabwe,55.3,6.38,52.99,60.37,7.38
6,2006,57.21,73.35,45.36,Zimbabwe,55.68,6.3,53.77,60.99,7.21
7,2007,57.77,73.71,45.61,Zimbabwe,56.47,6.19,54.47,61.38,6.91
8,2008,58.15,73.55,46.72,Zimbabwe,56.6,6.0,55.3,60.97,5.67
9,2009,58.98,73.85,48.06,Zimbabwe,58.1,5.94,55.85,62.54,6.69
10,2010,59.55,73.88,49.26,Central African Republic,58.9,5.69,56.39,62.79,6.4
11,2011,60.21,73.31,49.95,Central African Republic,59.3,5.45,57.03,63.43,6.4
12,2012,60.58,69.55,50.54,Chad,59.78,4.88,57.46,63.89,6.43
13,2013,61.0,69.56,50.78,Chad,60.09,4.7,57.8,63.93,6.13
14,2014,61.37,69.99,50.57,Central African Republic,60.84,4.7,58.42,64.16,5.74
15,2015,61.86,70.49,51.59,Chad,61.24,4.51,58.91,65.0,6.09
