,year,mean,max,max_country,minimum,median,std,25%,75%,iqr
0,2000,77.66,81.08,Japan,44.52,77.94,2.01,76.66,79.14,2.48
1,2001,77.96,81.42,Japan,41.96,78.22,2.07,76.95,79.34,2.39
2,2002,78.1,81.69,Japan,44.56,78.26,2.06,77.14,79.46,2.32
3,2003,78.32,81.76,Japan,43.39,78.47,2.01,77.29,79.64,2.35
4,2004,78.74,82.03,Japan,44.5,79.11,2.1,77.75,80.12,2.36
5,2005,78.94,81.96,Japan,44.77,79.34,2.09,78.09,80.15,2.06
6,2006,79.18,82.32,Japan,45.36,79.54,2.13,78.36,80.7,2.34
7,2007,79.39,82.51,Japan,45.61,79.94,2.18,78.46,80.81,2.34
8,2008,79.61,82.59,Japan,46.72,80.3,2.21,78.73,81.02,2.29
9,2009,79.83,82.93,Japan,48.06,80.44,2.24,78.88,81.32,2.44
10,2010,80.06,82.84,Japan,49.26,80.66,2.22,79.29,81.52,2.23
11,2011,80.36,82.7,Switzerland,49.95,80.98,2.28,79.96,81.78,1.83
12,2012,80.5,83.1,Japan,50.54,81.02,2.29,80.13,81.9,1.77
13,2013,80.65,83.33,Japan,50.78,81.22,2.28,80.35,82.04,1.69
14,2014,80.98,83.59,Japan,50.57,81.47,2.34,80.8,82.29,1.49
15,2015,80.91,83.79,Japan,51.59,81.5,2.34,80.66,82.32,1.66
