,year,mean,max,max_countries,minimum,min_countries,median,std,25%,75%,iqr
0,2000,66.77,81.08,Japan,44.52,Malawi,69.75,9.76,60.6,73.96,13.37
1,2001,67.1,81.42,Japan,41.96,Zimbabwe,69.96,9.77,60.8,74.32,13.52
2,2002,67.38,81.69,Japan,44.56,Zimbabwe,70.44,9.64,61.25,74.56,13.31
3,2003,67.67,81.76,Japan,43.39,Zimbabwe,70.72,9.54,61.51,74.6,13.09
4,2004,68.03,82.03,Japan,43.71,Lesotho,70.86,9.45,61.7,75.19,13.49
5,2005,68.38,81.96,Japan,43.23,Lesotho,71.25,9.31,61.88,75.19,13.31
6,2006,68.76,82.32,Japan,42.91,Lesotho,71.2,9.15,62.15,75.6,13.44
7,2007,69.1,82.51,Japan,43.12,Lesotho,71.42,8.99,62.58,75.7,13.12
8,2008,69.43,82.59,Japan,43.57,Lesotho,71.66,8.87,63.16,76.06,12.9
9,2009,69.84,82.93,Japan,44.03,Lesotho,71.95,8.67,63.61,76.26,12.64
10,2010,70.14,82.84,Japan,45.6,Lesotho,72.37,8.67,64.17,76.46,12.3
11,2011,70.6,82.7,Switzerland,46.69,Lesotho,72.56,8.36,64.34,76.74,12.4
12,2012,70.88,83.1,Japan,47.84,Lesotho,72.61,8.18,64.68,76.99,12.31
13,2013,71.17,83.33,Japan,49.0,Lesotho,72.74,8.06,64.8,77.13,12.33
14,2014,71.45,83.59,Japan,50.03,Lesotho,72.97,8.0,65.02,77.44,12.42
15,2015,71.65,83.79,Japan,51.1,Lesotho,73.14,7.79,65.51,77.54,12.03
