,year,mean,max,max_countries,minimum,min_countries,median,std,25%,75%,iqr
0,2000,24.93,32.7,Tonga,19.82,Bangladesh,25.25,2.38,119.5,278.55,159.05
1,2001,25.02,32.81,Tonga,19.96,Bangladesh,25.34,2.38,118.35,275.4,157.05
2,2002,25.11,32.9,Tonga,20.04,Timor-Leste,25.42,2.37,116.9,275.65,158.75
3,2003,25.19,33.0,Tonga,20.12,Timor-Leste,25.52,2.37,119.3,273.3,154.0
4,2004,25.28,33.08,Tonga,20.2,Timor-Leste,25.6,2.37,112.55,271.5,158.95
5,2005,25.36,33.17,Tonga,20.28,Timor-Leste,25.62,2.37,109.6,268.35,158.75
6,2006,25.44,33.25,Tonga,20.37,Timor-Leste,25.65,2.36,107.3,263.2,155.9
7,2007,25.52,33.32,Tonga,20.45,Timor-Leste,25.7,2.36,105.55,256.65,151.1
8,2008,25.6,33.4,Tonga,20.54,Timor-Leste,25.81,2.36,103.3,250.75,147.45
9,2009,25.67,33.48,Tonga,20.63,Ethiopia,25.87,2.36,100.95,239.2,138.25
10,2010,25.75,33.55,Tonga,20.7,Ethiopia,25.99,2.37,99.16,233.0,133.84
11,2011,25.83,33.68,Samoa,20.77,Ethiopia,26.04,2.37,96.02,227.35,131.34
12,2012,25.9,33.81,Samoa,20.84,Ethiopia,26.08,2.37,93.3,224.8,131.5
13,2013,25.98,33.94,Samoa,20.91,Ethiopia,26.12,2.38,90.99,220.3,129.31
14,2014,26.05,34.07,Samoa,20.98,Ethiopia,26.18,2.39,89.88,219.95,130.06
15,2015,26.13,34.21,Samoa,21.05,Ethiopia,26.24,2.4,90.41,215.45,125.04
