,year,mean,max,max_countries,minimum,min_countries,median,std,25%,75%,iqr
0,2000,24.2,30.18,Tonga,19.75,Ethiopia,24.62,2.21,119.5,278.55,159.05
1,2001,24.28,30.21,Tonga,19.79,Ethiopia,24.71,2.21,118.35,275.4,157.05
2,2002,24.37,30.24,Tonga,19.83,Ethiopia,24.78,2.22,116.9,275.65,158.75
3,2003,24.45,30.27,Tonga,19.86,Ethiopia,24.87,2.22,119.3,273.3,154.0
4,2004,24.53,30.3,Tonga,19.89,Ethiopia,24.99,2.23,112.55,271.5,158.95
5,2005,24.61,30.32,Tonga,19.92,Ethiopia,25.11,2.23,109.6,268.35,158.75
6,2006,24.69,30.35,Tonga,19.95,Ethiopia,25.15,2.23,107.3,263.2,155.9
7,2007,24.77,30.38,Tonga,19.97,Ethiopia,25.24,2.24,105.55,256.65,151.1
8,2008,24.85,30.41,Tonga,19.98,Ethiopia,25.35,2.24,103.3,250.75,147.45
9,2009,24.92,30.45,Tonga,20.0,Ethiopia,25.47,2.25,100.95,239.2,138.25
10,2010,25.0,30.48,Tonga,20.01,Ethiopia,25.51,2.26,99.16,233.0,133.84
11,2011,25.07,30.52,Tonga,20.03,Ethiopia,25.59,2.27,96.02,227.35,131.34
12,2012,25.14,30.56,Tonga,20.04,Ethiopia,25.67,2.27,93.3,224.8,131.5
13,2013,25.22,30.6,Tonga,20.06,Ethiopia,25.76,2.28,90.99,220.3,129.31
14,2014,25.29,30.64,Tonga,20.08,Ethiopia,25.84,2.29,89.88,219.95,130.06
15,2015,25.36,30.68,Tonga,20.09,Ethiopia,25.93,2.3,90.41,215.45,125.04
