,year,mean,max,max_countries,minimum,min_countries,median,std,25%,75%,iqr
0,2000,5.26,12.49,United States of America,1.11,Equatorial Guinea,4.87,2.18,3.56,6.79,3.22
1,2001,5.45,13.17,United States of America,1.2,Equatorial Guinea,5.05,2.23,3.79,7.02,3.22
2,2002,5.61,14.0,United States of America,1.7,Democratic Republic of the Congo,5.14,2.28,3.88,7.25,3.36
3,2003,5.66,14.51,United States of America,1.83,Equatorial Guinea,5.24,2.28,3.92,7.09,3.17
4,2004,5.76,14.55,United States of America,1.45,Equatorial Guinea,5.41,2.32,4.08,7.32,3.24
5,2005,5.8,17.73,Micronesia (Federated States of),1.3,Equatorial Guinea,5.28,2.5,3.97,7.62,3.66
6,2006,5.74,14.71,United States of America,1.29,Equatorial Guinea,5.44,2.35,3.94,7.64,3.69
7,2007,5.72,14.92,United States of America,1.3,Equatorial Guinea,5.25,2.38,3.88,7.5,3.62
8,2008,5.82,15.21,United States of America,1.12,Equatorial Guinea,5.42,2.54,3.87,7.66,3.79
9,2009,6.24,16.2,United States of America,1.77,Equatorial Guinea,5.52,2.68,4.18,8.02,3.84
10,2010,6.12,16.2,United States of America,1.62,Equatorial Guinea,5.44,2.61,4.14,8.01,3.87
11,2011,6.07,16.14,United States of America,1.43,Equatorial Guinea,5.52,2.63,4.1,8.04,3.94
12,2012,6.07,16.12,United States of America,1.51,Equatorial Guinea,5.56,2.57,4.08,8.02,3.94
13,2013,6.17,15.99,United States of America,1.64,Equatorial Guinea,5.72,2.59,4.18,8.11,3.93
14,2014,6.26,19.69,Sierra Leone,1.75,Equatorial Guinea,5.68,2.74,4.32,7.91,3.59
15,2015,6.35,19.66,Sierra Leone,1.82,Papua New Guinea,5.81,2.73,4.38,8.01,3.63
