,year,mean,max,max_countries,minimum,min_countries,median,std,25%,75%,iqr
0,2000,20.21,60.8,Afghanistan,1.5,Singapore,16.3,15.37,6.5,31.8,25.3
1,2001,19.65,59.7,Afghanistan,1.5,Singapore,15.4,15.06,6.25,31.05,24.8
2,2002,19.09,58.6,Afghanistan,1.3,Singapore,14.5,14.73,6.05,30.2,24.15
3,2003,18.56,57.4,Afghanistan,1.2,Singapore,13.8,14.42,5.75,29.5,23.75
4,2004,18.06,56.1,Afghanistan,1.3,Singapore,13.7,14.13,5.4,28.95,23.55
5,2005,17.54,54.8,Afghanistan,1.3,Japan,13.2,13.83,5.4,28.5,23.1
6,2006,17.07,53.5,Afghanistan,1.3,Singapore,12.5,13.56,5.1,27.6,22.5
7,2007,16.6,52.2,Afghanistan,1.1,Singapore,11.8,13.29,5.0,26.6,21.6
8,2008,16.17,50.9,Pakistan,1.2,Japan,11.7,13.02,4.85,25.9,21.05
9,2009,15.74,50.8,Pakistan,1.1,Japan,11.4,12.76,4.7,25.5,20.8
10,2010,15.33,50.5,Pakistan,1.0,Japan,10.8,12.51,4.55,24.9,20.35
11,2011,14.91,50.1,Pakistan,1.0,Japan,10.1,12.22,4.45,24.35,19.9
12,2012,14.52,49.3,Pakistan,0.9,Japan,10.2,11.95,4.4,23.8,19.4
13,2013,14.13,48.3,Pakistan,0.9,Japan,9.9,11.68,4.25,23.15,18.9
14,2014,13.78,47.3,Pakistan,0.9,Japan,9.8,11.4,4.25,22.5,18.25
15,2015,13.41,46.2,Pakistan,0.8,Japan,9.4,11.15,4.05,21.95,17.9
