,year,mean,max,max_countries,minimum,min_countries,median,std
0,2000,34446996.12,1262645000,Chile,75055.0,Antigua and Barbuda,7516346.0,127737706.23
1,2001,34905625.55,1271850000,Chile,76215.0,Antigua and Barbuda,7503433.0,129257464.35
2,2002,35363310.1,1280400000,Chile,77195.0,Antigua and Barbuda,7496522.0,130738320.31
3,2003,35818269.59,1288400000,Chile,78075.0,Antigua and Barbuda,7659208.0,132176991.08
4,2004,36273355.53,1296075000,Chile,78941.0,Antigua and Barbuda,7716860.0,133593280.54
5,2005,36730669.73,1303720000,Chile,79869.0,Antigua and Barbuda,7658972.0,134988725.2
6,2006,37191758.07,1311020000,Chile,80895.0,Antigua and Barbuda,7745200.0,136339066.24
7,2007,37653057.71,1317885000,Chile,82016.0,Antigua and Barbuda,7944609.0,137651049.1
8,2008,38122353.75,1324655000,Chile,83251.0,Antigua and Barbuda,8278109.0,138949647.64
9,2009,38594146.14,1331260000,Chile,84534.0,Antigua and Barbuda,8343323.0,140235697.25
10,2010,39065959.14,1337705000,Chile,85695.0,Antigua and Barbuda,8481771.0,141524511.35
11,2011,39537365.31,1345035000,Chile,86729.0,Antigua and Barbuda,8622504.0,142861453.72
12,2012,40027643.35,1354190000,Chile,87674.0,Antigua and Barbuda,8792367.0,144291553.76
13,2013,40520622.1,1363240000,Chile,88497.0,Antigua and Barbuda,8960657.0,145703461.31
14,2014,41014363.98,1371860000,Chile,89236.0,Antigua and Barbuda,9127846.0,147069109.4
15,2015,41503712.11,1379860000,Chile,89941.0,Antigua and Barbuda,9461076.0,148379517.93
