,year,mean,max,max_countries,minimum,min_countries,median,std,25%,75%,iqr
0,2000,36.71,186.7,Sierra Leone,1.6,Finland,15.1,43.11,5.65,58.6,52.95
1,2001,35.51,183.0,Sierra Leone,1.5,Finland,14.2,42.09,5.3,55.35,50.05
2,2002,33.68,177.7,Sierra Leone,1.4,Finland,13.3,39.79,5.1,54.55,49.45
3,2003,32.1,172.2,Sierra Leone,1.3,Finland,12.3,38.42,4.95,50.15,45.2
4,2004,30.1,151.6,Niger,1.0,Finland,12.2,35.31,4.7,48.85,44.15
5,2005,28.07,144.1,Sierra Leone,0.9,Finland,11.3,33.02,4.7,45.0,40.3
6,2006,26.35,140.1,Sierra Leone,0.8,Finland,11.0,30.76,4.45,44.15,39.7
7,2007,24.92,134.9,Sierra Leone,0.7,Finland,10.6,29.23,4.1,41.8,37.7
8,2008,23.85,129.7,Sierra Leone,0.6,Finland,10.0,28.06,4.0,39.65,35.65
9,2009,22.73,124.0,Sierra Leone,0.6,Finland,9.6,27.02,3.75,38.1,34.35
10,2010,22.27,187.1,Haiti,0.6,Finland,9.1,28.23,3.6,36.35,32.75
11,2011,20.57,110.6,Sierra Leone,0.8,Finland,8.7,24.39,3.45,34.75,31.3
12,2012,19.57,104.2,Sierra Leone,1.0,Finland,8.4,23.19,3.3,32.9,29.6
13,2013,18.59,97.0,Sierra Leone,0.8,Luxembourg,8.0,22.06,3.35,30.75,27.4
14,2014,17.76,93.4,Chad,0.8,Finland,7.8,20.95,3.25,28.65,25.4
15,2015,17.17,89.6,Chad,0.6,Finland,7.2,20.28,3.2,27.55,24.35
