,year,mean,max,max_countries,minimum,min_countries,median,std
0,2000,8.52,32.2,The former Yugoslav republic of Macedonia,0.6,Pakistan,6.88,6.17
1,2001,8.46,30.52,The former Yugoslav republic of Macedonia,0.6,Pakistan,6.92,6.16
2,2002,8.57,31.94,The former Yugoslav republic of Macedonia,0.6,Pakistan,6.87,6.18
3,2003,8.57,36.69,The former Yugoslav republic of Macedonia,0.6,Pakistan,6.92,6.17
4,2004,8.4,37.16,The former Yugoslav republic of Macedonia,0.59,Pakistan,6.78,6.04
5,2005,8.18,37.32,The former Yugoslav republic of Macedonia,0.58,Pakistan,7.1,5.98
6,2006,7.74,36.39,The former Yugoslav republic of Macedonia,0.58,Pakistan,6.49,5.75
7,2007,7.34,35.23,The former Yugoslav republic of Macedonia,0.4,Pakistan,5.98,5.54
8,2008,7.17,33.93,The former Yugoslav republic of Macedonia,0.31,Qatar,5.78,5.3
9,2009,7.98,32.35,The former Yugoslav republic of Macedonia,0.31,Qatar,6.62,5.52
10,2010,8.14,33.14,The former Yugoslav republic of Macedonia,0.45,Qatar,6.91,5.87
11,2011,8.08,31.5,The former Yugoslav republic of Macedonia,0.32,Niger,6.58,5.91
12,2012,8.14,31.1,The former Yugoslav republic of Macedonia,0.48,Qatar,6.74,6.06
13,2013,8.16,29.02,The former Yugoslav republic of Macedonia,0.25,Thailand,6.4,6.15
14,2014,8.0,28.22,The former Yugoslav republic of Macedonia,0.2,Qatar,6.14,5.97
15,2015,7.92,27.7,Bosnia and Herzegovina,0.17,Qatar,6.35,5.83
