,year,mean,max,max_countries,minimum,min_countries,median,std,25%,75%,iqr
0,2000,6432.78,48659.6,Luxembourg,122.96,Ethiopia,1673.36,9895.37,611.47,6526.71,5915.24
1,2001,6342.96,48440.14,Luxembourg,119.26,Ethiopia,1800.4,9681.83,596.62,6529.2,5932.58
2,2002,6708.98,53005.73,Luxembourg,110.46,Ethiopia,1989.14,10365.15,658.98,6610.02,5951.03
3,2003,7824.77,65689.32,Luxembourg,114.37,Burundi,2259.52,12224.57,704.9,8272.54,7567.64
4,2004,9007.8,76544.92,Luxembourg,128.54,Burundi,2600.37,14030.32,807.84,9739.93,8932.09
5,2005,9903.23,80988.14,Luxembourg,151.19,Burundi,3106.58,15177.77,980.34,10834.92,9854.58
6,2006,10802.97,90788.8,Luxembourg,166.28,Burundi,3343.79,16326.49,1166.53,12072.4,10905.87
7,2007,12311.73,107475.32,Luxembourg,170.71,Burundi,3934.69,18453.09,1317.42,14027.22,12709.8
8,2008,13629.04,120422.14,Luxembourg,194.71,Burundi,4504.51,20067.95,1465.33,17018.96,15553.63
9,2009,11958.56,109419.75,Luxembourg,204.54,Burundi,4270.86,17438.69,1366.78,14040.76,12673.99
10,2010,12747.37,110885.99,Luxembourg,222.66,Burundi,4835.79,18282.4,1512.32,14180.24,12667.93
11,2011,14241.82,119025.06,Luxembourg,236.45,Burundi,5614.39,20571.54,1673.25,14874.8,13201.54
12,2012,14154.42,112584.68,Luxembourg,238.21,Burundi,6015.95,20207.19,1738.04,15926.34,14188.3
13,2013,14516.97,120000.14,Luxembourg,241.55,Burundi,6141.98,20671.21,1871.68,16446.79,14575.11
14,2014,14592.0,123678.7,Luxembourg,257.82,Burundi,6164.64,20643.45,1826.94,16677.97,14851.03
15,2015,12928.92,105462.01,Luxembourg,289.36,Burundi,5588.98,17920.52,1676.38,15659.32,13982.95
