,year,mean,max,minimum,median
0,2000,66.68,81.08,44.52,69.74
1,2001,67.01,81.42,41.96,69.94
2,2002,67.29,81.69,44.56,70.42
3,2003,67.57,81.76,43.39,70.53
4,2004,67.93,82.03,43.71,70.85
5,2005,68.28,81.96,43.23,71.19
6,2006,68.66,82.32,42.91,71.18
7,2007,69.0,82.51,43.12,71.4
8,2008,69.33,82.59,43.57,71.63
9,2009,69.74,82.93,44.03,71.91
10,2010,70.03,82.84,45.6,72.32
11,2011,70.49,82.7,46.69,72.49
12,2012,70.78,83.1,47.84,72.56
13,2013,71.07,83.33,49.0,72.72
14,2014,71.35,83.59,50.03,72.92
15,2015,71.56,83.79,51.1,73.12
