,year,mean,max,minimum,median
0,2000,77.58,81.08,72.04,77.9
1,2001,77.91,81.42,72.11,78.09
2,2002,78.05,81.69,72.23,78.18
3,2003,78.31,81.76,72.4,78.41
4,2004,78.74,82.03,72.48,78.99
5,2005,78.95,81.96,72.76,79.19
6,2006,79.2,82.32,72.86,79.34
7,2007,79.42,82.51,72.68,79.71
8,2008,79.67,82.59,72.67,80.18
9,2009,79.9,82.93,72.58,80.26
10,2010,80.13,82.84,72.73,80.6
11,2011,80.44,82.7,72.56,80.96
12,2012,80.59,83.1,72.75,80.92
13,2013,80.73,83.33,73.02,81.07
14,2014,81.08,83.59,73.37,81.42
15,2015,81.03,83.79,73.1,81.46
