,year,mean,max,max_countries,minimum,min_countries,median,std
0,2000,24.92,32.7,Tonga,19.82,Bangladesh,25.24,2.38
1,2001,25.01,32.81,Tonga,19.96,Bangladesh,25.34,2.38
2,2002,25.09,32.9,Tonga,20.04,Timor-Leste,25.42,2.37
3,2003,25.18,33.0,Tonga,20.12,Timor-Leste,25.52,2.37
4,2004,25.26,33.08,Tonga,20.2,Timor-Leste,25.59,2.37
5,2005,25.35,33.17,Tonga,20.28,Timor-Leste,25.62,2.36
6,2006,25.43,33.25,Tonga,20.37,Timor-Leste,25.64,2.36
7,2007,25.51,33.32,Tonga,20.45,Timor-Leste,25.7,2.36
8,2008,25.58,33.4,Tonga,20.54,Timor-Leste,25.78,2.36
9,2009,25.66,33.48,Tonga,20.63,Ethiopia,25.87,2.36
10,2010,25.74,33.55,Tonga,20.7,Ethiopia,25.96,2.37
11,2011,25.81,33.68,Samoa,20.77,Ethiopia,26.02,2.37
12,2012,25.89,33.81,Samoa,20.84,Ethiopia,26.07,2.37
13,2013,25.97,33.94,Samoa,20.91,Ethiopia,26.12,2.38
14,2014,26.04,34.07,Samoa,20.98,Ethiopia,26.18,2.39
15,2015,26.12,34.21,Samoa,21.05,Ethiopia,26.24,2.4
