,year,mean,max,max_countries,minimum,min_countries,median,std
0,2000,5.25,12.49,United States of America,1.11,Equatorial Guinea,4.87,2.2
1,2001,5.45,13.17,United States of America,1.2,Equatorial Guinea,5.05,2.24
2,2002,5.61,14.0,United States of America,1.7,Democratic Republic of the Congo,5.14,2.29
3,2003,5.68,14.51,United States of America,1.83,Equatorial Guinea,5.24,2.28
4,2004,5.77,14.55,United States of America,1.45,Equatorial Guinea,5.41,2.33
5,2005,5.81,17.73,Micronesia (Federated States of),1.3,Equatorial Guinea,5.28,2.51
6,2006,5.75,14.71,United States of America,1.29,Equatorial Guinea,5.44,2.36
7,2007,5.73,14.92,United States of America,1.3,Equatorial Guinea,5.25,2.39
8,2008,5.84,15.21,United States of America,1.12,Equatorial Guinea,5.42,2.55
9,2009,6.26,16.2,United States of America,1.77,Equatorial Guinea,5.52,2.69
10,2010,6.12,16.2,United States of America,1.62,Equatorial Guinea,5.44,2.61
11,2011,6.07,16.14,United States of America,1.43,Equatorial Guinea,5.52,2.63
12,2012,6.07,16.12,United States of America,1.51,Equatorial Guinea,5.56,2.57
13,2013,6.17,15.99,United States of America,1.64,Equatorial Guinea,5.72,2.59
14,2014,6.26,19.69,Sierra Leone,1.75,Equatorial Guinea,5.68,2.74
15,2015,6.35,19.66,Sierra Leone,1.82,Papua New Guinea,5.81,2.73
