,year,mean,max,max_countries,minimum,min_countries,median
0,2000,66.68,81.08,Japan,44.52,Malawi,69.74
1,2001,67.01,81.42,Japan,41.96,Zimbabwe,69.94
2,2002,67.29,81.69,Japan,44.56,Zimbabwe,70.42
3,2003,67.57,81.76,Japan,43.39,Zimbabwe,70.53
4,2004,67.93,82.03,Japan,43.71,Lesotho,70.85
5,2005,68.28,81.96,Japan,43.23,Lesotho,71.19
6,2006,68.66,82.32,Japan,42.91,Lesotho,71.18
7,2007,69.0,82.51,Japan,43.12,Lesotho,71.4
8,2008,69.33,82.59,Japan,43.57,Lesotho,71.63
9,2009,69.74,82.93,Japan,44.03,Lesotho,71.91
10,2010,70.03,82.84,Japan,45.6,Lesotho,72.32
11,2011,70.49,82.7,Switzerland,46.69,Lesotho,72.49
12,2012,70.78,83.1,Japan,47.84,Lesotho,72.56
13,2013,71.07,83.33,Japan,49.0,Lesotho,72.72
14,2014,71.35,83.59,Japan,50.03,Lesotho,72.92
15,2015,71.56,83.79,Japan,51.1,Lesotho,73.12
