,year,mean,max,max_country,minimum,min_country,median
0,2000,77.58,81.08,Japan,72.04,Bahamas,77.9
1,2001,77.91,81.42,Japan,72.11,Bahamas,78.09
2,2002,78.05,81.69,Japan,72.23,Bahamas,78.18
3,2003,78.31,81.76,Japan,72.4,Bahamas,78.41
4,2004,78.74,82.03,Japan,72.48,Bahamas,78.99
5,2005,78.95,81.96,Japan,72.76,Bahamas,79.19
6,2006,79.2,82.32,Japan,72.86,Bahamas,79.34
7,2007,79.42,82.51,Japan,72.68,Bahamas,79.71
8,2008,79.67,82.59,Japan,72.67,Bahamas,80.18
9,2009,79.9,82.93,Japan,72.58,Bahamas,80.26
10,2010,80.13,82.84,Japan,72.73,Bahamas,80.6
11,2011,80.44,82.7,Switzerland,72.56,Bahamas,80.96
12,2012,80.59,83.1,Japan,72.75,Bahamas,80.92
13,2013,80.73,83.33,Japan,73.02,Bahamas,81.07
14,2014,81.08,83.59,Japan,73.37,Bahamas,81.42
15,2015,81.03,83.79,Japan,73.1,Bahamas,81.46
