,year,mean,max,max_countries,minimum,min_countries,median,std
0,2000,6398.46,48659.6,Luxembourg,122.96,Ethiopia,1672.69,9877.66
1,2001,6308.33,48440.14,Luxembourg,119.26,Ethiopia,1785.66,9665.14
2,2002,6672.19,53005.73,Luxembourg,110.46,Ethiopia,1967.16,10347.12
3,2003,7781.96,65689.32,Luxembourg,114.37,Burundi,2228.5,12202.94
4,2004,8958.79,76544.92,Luxembourg,128.54,Burundi,2534.4,14005.42
5,2005,9849.51,80988.14,Luxembourg,151.19,Burundi,3015.84,15151.27
6,2006,10744.24,90788.8,Luxembourg,166.28,Burundi,3311.44,16298.58
7,2007,12244.55,107475.32,Luxembourg,170.71,Burundi,3893.01,18422.04
8,2008,13554.54,120422.14,Luxembourg,194.71,Burundi,4437.52,20035.11
9,2009,11892.04,109419.75,Luxembourg,204.54,Burundi,4242.34,17411.33
10,2010,12676.21,110885.99,Luxembourg,222.66,Burundi,4834.58,18254.67
11,2011,14162.25,119025.06,Luxembourg,236.45,Burundi,5566.86,20540.01
12,2012,14075.85,112584.68,Luxembourg,238.21,Burundi,5882.29,20176.5
13,2013,14437.07,120000.14,Luxembourg,241.55,Burundi,6093.32,20639.49
14,2014,14511.88,123678.7,Luxembourg,257.82,Burundi,6098.1,20611.99
15,2015,12858.34,105462.01,Luxembourg,289.36,Burundi,5544.74,17893.91
