,year,mean,max,max_countries,min,median,std,25%,75%,iqr
0,2000,348.21,682.6,Zimbabwe,104.2,330.45,147.38,246.6,445.35,198.75
1,2001,346.57,693.9,Zimbabwe,102.7,323.2,147.79,244.02,443.55,199.52
2,2002,345.88,704.8,Zimbabwe,101.8,321.5,148.12,246.18,429.0,182.82
3,2003,344.47,709.9,Zimbabwe,100.3,322.8,149.12,239.4,421.88,182.48
4,2004,338.76,707.1,Zimbabwe,98.91,312.05,147.77,236.4,413.08,176.68
5,2005,330.02,732.5,Lesotho,97.58,307.65,144.39,233.12,402.68,169.55
6,2006,319.35,743.5,Lesotho,96.24,298.45,138.86,228.82,378.98,150.15
7,2007,308.67,710.9,Lesotho,95.15,286.1,130.61,221.45,366.6,145.15
8,2008,297.88,659.6,Lesotho,93.73,281.9,122.19,214.18,350.4,136.23
9,2009,289.76,631.4,Lesotho,92.54,278.45,115.49,212.78,339.82,127.05
10,2010,282.15,613.8,Lesotho,91.36,278.8,110.42,206.82,334.48,127.65
11,2011,276.38,604.0,Lesotho,90.61,274.05,104.34,204.2,328.25,124.05
12,2012,268.98,609.7,Lesotho,89.11,267.45,101.92,201.52,320.9,119.37
13,2013,263.44,615.6,Lesotho,87.57,262.6,100.65,197.77,310.98,113.2
14,2014,262.69,627.4,Lesotho,86.18,257.5,100.36,192.9,315.22,122.32
15,2015,256.41,629.5,Lesotho,84.95,255.1,96.38,188.92,288.38,99.45
