,year,mean,max,max_countries,min,median,std,25%,75%,iqr
0,2000,158.01,353.8,Haiti,80.77,147.3,54.4,120.65,187.15,66.5
1,2001,155.93,349.8,Haiti,79.21,145.8,54.03,119.4,183.55,64.15
2,2002,153.12,343.9,Haiti,78.0,145.1,53.11,121.05,179.8,58.75
3,2003,151.13,340.3,Haiti,77.35,135.3,52.64,120.2,177.25,57.05
4,2004,149.31,345.7,Haiti,75.73,133.1,53.45,118.65,173.45,54.8
5,2005,148.47,330.1,Haiti,75.7,140.5,51.56,117.25,170.15,52.9
6,2006,144.69,317.6,Haiti,73.95,130.2,50.33,113.45,168.6,55.15
7,2007,144.83,305.0,Haiti,73.68,137.0,49.21,111.7,169.25,57.55
8,2008,143.58,297.7,Haiti,73.0,135.2,47.73,110.5,170.3,59.8
9,2009,142.35,289.4,Haiti,71.36,134.4,45.94,110.1,167.45,57.35
10,2010,152.38,675.7,Haiti,69.1,129.5,102.56,108.5,160.3,51.8
11,2011,139.03,287.8,Haiti,66.82,132.7,46.71,107.35,164.5,57.15
12,2012,137.73,282.5,Haiti,67.55,124.8,47.31,107.05,156.3,49.25
13,2013,136.99,276.7,Haiti,66.24,126.2,47.32,106.65,158.1,51.45
14,2014,136.63,272.0,Haiti,66.56,124.3,46.96,106.35,164.95,58.6
15,2015,137.31,268.9,Haiti,66.11,127.9,46.9,104.85,168.2,63.35
