,year,mean,max,max_countries,min,min_countries,median,std,25%,75%,iqr
0,2000,133.22,310.9,Russian Federation,71.47,Malta,110.5,60.28,88.48,159.45,70.96
1,2001,132.56,316.0,Russian Federation,69.58,Malta,109.5,62.61,85.74,155.15,69.41
2,2002,131.12,323.5,Russian Federation,67.22,Iceland,106.9,63.91,84.92,152.2,67.27
3,2003,129.44,329.9,Russian Federation,64.62,Iceland,104.3,63.65,83.48,151.05,67.58
4,2004,126.51,324.9,Russian Federation,62.26,Iceland,99.56,63.65,81.49,150.45,68.96
5,2005,127.44,326.2,Russian Federation,60.74,Iceland,102.9,66.48,79.06,150.55,71.49
6,2006,124.56,297.3,Russian Federation,59.4,Iceland,103.3,63.81,76.94,150.55,73.62
7,2007,122.94,277.8,Russian Federation,58.27,Iceland,100.5,62.59,76.4,148.85,72.44
8,2008,119.07,273.5,Russian Federation,56.6,Iceland,95.04,59.97,74.66,145.75,71.1
9,2009,114.38,256.7,Russian Federation,54.64,Iceland,90.52,54.34,76.48,141.8,65.32
10,2010,110.8,252.3,Russian Federation,53.21,Iceland,87.74,53.64,70.91,132.7,61.78
11,2011,106.73,238.7,Russian Federation,52.71,Iceland,83.97,49.3,70.34,132.7,62.36
12,2012,102.76,228.8,Russian Federation,52.92,Iceland,80.73,46.82,68.1,130.25,62.15
13,2013,99.32,221.8,Russian Federation,52.78,Switzerland,78.43,44.54,65.97,121.95,55.98
14,2014,97.62,221.3,Russian Federation,50.05,Switzerland,75.88,45.47,64.33,120.3,55.97
15,2015,95.66,214.2,Russian Federation,49.46,Switzerland,74.4,43.11,62.88,116.65,53.77
