,year,mean,max,max_countries,min,min_countries,median,std,25%,75%,iqr
0,2000,224.8,329.8,Kiribati,76.32,Australia,245.7,85.19,183.42,290.45,107.02
1,2001,221.93,325.2,Kiribati,72.98,Australia,240.6,84.99,182.12,287.82,105.7
2,2002,220.87,322.6,Kiribati,71.05,Australia,236.95,85.46,180.85,291.73,110.88
3,2003,218.9,319.6,Kiribati,68.73,Australia,237.95,84.89,179.5,284.2,104.7
4,2004,217.14,318.0,Kiribati,67.06,Australia,235.6,85.28,178.35,283.15,104.8
5,2005,217.11,316.5,Kiribati,66.92,Australia,239.45,85.33,177.1,282.73,105.62
6,2006,215.7,314.8,Kiribati,65.58,Australia,240.25,85.43,175.38,280.7,105.32
7,2007,214.63,313.1,Kiribati,64.99,Australia,237.85,84.8,175.42,278.95,103.52
8,2008,213.27,312.1,Kiribati,64.08,Australia,237.15,84.63,175.35,277.32,101.98
9,2009,217.05,311.6,Kiribati,63.99,Australia,233.1,82.75,200.85,275.65,74.8
10,2010,210.68,311.6,Kiribati,62.48,Australia,230.9,83.84,175.68,274.92,99.25
11,2011,209.63,312.0,Kiribati,61.99,Australia,229.1,83.66,175.28,273.1,97.83
12,2012,208.8,310.4,Kiribati,59.74,Australia,228.55,83.46,175.9,271.47,95.57
13,2013,207.56,308.6,Kiribati,59.56,Australia,225.55,82.95,175.85,270.35,94.5
14,2014,206.91,307.2,Kiribati,61.18,Australia,222.9,82.27,176.08,269.52,93.45
15,2015,206.14,305.0,Kiribati,62.26,Australia,220.35,81.45,176.02,269.3,93.28
