,year,mean,max,min,median,std,25%,75%,iqr
0,2000,5.83,12.49,2.98,5.4,2.02,4.4,6.79,3.03
1,2001,5.94,13.17,3.06,5.53,2.13,4.38,7.04,3.03
2,2002,6.08,14.0,3.19,5.73,2.16,4.76,7.16,3.03
3,2003,6.11,14.51,3.27,5.78,2.2,4.74,6.96,3.03
4,2004,6.1,14.55,3.43,5.8,2.16,4.78,7.07,3.03
5,2005,6.16,14.58,3.31,5.84,2.22,4.75,7.14,3.03
6,2006,6.17,14.71,3.48,5.86,2.24,4.52,7.29,3.03
7,2007,6.37,14.92,3.65,5.77,2.34,4.6,7.56,3.03
8,2008,6.47,15.21,3.66,5.7,2.44,4.68,7.74,3.03
9,2009,6.88,16.2,3.5,6.13,2.64,5.15,7.9,3.03
10,2010,6.83,16.2,4.22,6.12,2.49,5.14,7.93,3.03
11,2011,6.85,16.14,4.17,5.96,2.48,5.2,7.87,3.03
12,2012,6.8,16.12,3.71,6.53,2.42,5.08,7.78,3.03
13,2013,6.83,15.99,3.8,6.06,2.47,5.0,7.83,3.03
14,2014,6.93,16.2,3.95,6.63,2.55,4.92,7.94,3.03
15,2015,7.14,16.49,4.02,6.69,2.64,5.22,8.12,3.03
