,year,mean,max,max_countries,min,min_countries,median,std,25%,75%,iqr
0,2000,23.43,29.08,Egypt,19.98,Ethiopia,22.96,2.07,246.6,445.35,198.75
1,2001,23.54,29.24,Egypt,20.06,Ethiopia,23.06,2.07,244.02,443.55,199.52
2,2002,23.64,29.41,Egypt,20.13,Ethiopia,23.16,2.07,246.18,429.0,182.82
3,2003,23.75,29.57,Egypt,20.21,Ethiopia,23.26,2.07,239.4,421.88,182.48
4,2004,23.85,29.73,Egypt,20.28,Ethiopia,23.39,2.07,236.4,413.08,176.68
5,2005,23.95,29.88,Egypt,20.35,Ethiopia,23.5,2.07,233.12,402.68,169.55
6,2006,24.04,30.04,Egypt,20.42,Ethiopia,23.61,2.07,228.82,378.98,150.15
7,2007,24.14,30.19,Egypt,20.49,Ethiopia,23.69,2.07,221.45,366.6,145.15
8,2008,24.23,30.35,Egypt,20.56,Ethiopia,23.76,2.07,214.18,350.4,136.23
9,2009,24.32,30.51,Egypt,20.63,Ethiopia,23.82,2.07,212.78,339.82,127.05
10,2010,24.4,30.68,Egypt,20.7,Ethiopia,23.91,2.08,206.82,334.48,127.65
11,2011,24.49,30.84,Egypt,20.77,Ethiopia,24.02,2.08,204.2,328.25,124.05
12,2012,24.57,31.01,Egypt,20.84,Ethiopia,24.14,2.09,201.52,320.9,119.37
13,2013,24.65,31.18,Egypt,20.91,Ethiopia,24.26,2.1,197.77,310.98,113.2
14,2014,24.74,31.35,Egypt,20.98,Ethiopia,24.38,2.1,192.9,315.22,122.32
15,2015,24.82,31.52,Egypt,21.05,Ethiopia,24.49,2.11,188.92,288.38,99.45
