,year,mean,max,min,median,std,25%,75%,iqr
0,2000,26.34,28.83,22.4,26.28,1.14,120.65,187.15,66.5
1,2001,26.46,28.96,22.53,26.37,1.14,119.4,183.55,64.15
2,2002,26.57,29.09,22.67,26.51,1.14,121.05,179.8,58.75
3,2003,26.68,29.21,22.8,26.64,1.14,120.2,177.25,57.05
4,2004,26.79,29.33,22.94,26.75,1.14,118.65,173.45,54.8
5,2005,26.9,29.45,23.07,26.85,1.15,117.25,170.15,52.9
6,2006,27.01,29.56,23.2,26.95,1.15,113.45,168.6,55.15
7,2007,27.11,29.68,23.33,27.04,1.15,111.7,169.25,57.55
8,2008,27.22,29.79,23.45,27.13,1.16,110.5,170.3,59.8
9,2009,27.33,29.91,23.58,27.22,1.16,110.1,167.45,57.35
10,2010,27.43,30.03,23.7,27.3,1.17,108.5,160.3,51.8
11,2011,27.54,30.15,23.82,27.39,1.17,107.35,164.5,57.15
12,2012,27.65,30.26,23.93,27.52,1.18,107.05,156.3,49.25
13,2013,27.76,30.39,24.04,27.66,1.19,106.65,158.1,51.45
14,2014,27.87,30.51,24.15,27.76,1.2,106.35,164.95,58.6
15,2015,27.98,30.63,24.25,27.84,1.22,104.85,168.2,63.35
