,year,mean,max,max_countries,min,min_countries,median,std,25%,75%,iqr
0,2000,24.48,29.93,Kuwait,19.82,Bangladesh,24.29,2.79,122.4,203.9,81.5
1,2001,24.56,29.99,Kuwait,19.96,Bangladesh,24.42,2.78,120.4,195.3,74.9
2,2002,24.64,30.04,Kuwait,20.04,Timor-Leste,24.56,2.77,117.1,195.9,78.8
3,2003,24.72,30.09,Kuwait,20.12,Timor-Leste,24.69,2.76,123.0,195.8,72.8
4,2004,24.8,30.14,Kuwait,20.2,Timor-Leste,24.81,2.74,111.4,200.6,89.2
5,2005,24.88,30.18,Kuwait,20.28,Timor-Leste,24.94,2.73,108.7,196.6,87.9
6,2006,24.95,30.22,Kuwait,20.37,Timor-Leste,25.07,2.72,104.0,194.1,90.1
7,2007,25.03,30.26,Kuwait,20.45,Timor-Leste,25.22,2.71,98.2,189.7,91.5
8,2008,25.12,30.3,Kuwait,20.54,Timor-Leste,25.36,2.7,94.27,184.3,90.03
9,2009,25.2,30.35,Kuwait,20.64,Timor-Leste,25.43,2.69,92.36,180.7,88.34
10,2010,25.28,30.39,Kuwait,20.74,Timor-Leste,25.55,2.68,89.49,177.2,87.71
11,2011,25.37,30.43,Kuwait,20.84,Timor-Leste,25.68,2.67,88.8,176.8,88.0
12,2012,25.45,30.48,Kuwait,20.95,Timor-Leste,25.82,2.67,86.97,181.3,94.33
13,2013,25.54,30.52,Kuwait,21.05,Timor-Leste,25.99,2.66,84.24,179.3,95.06
14,2014,25.62,30.57,Kuwait,21.16,Timor-Leste,26.16,2.66,82.31,181.4,99.09
15,2015,25.71,30.61,Kuwait,21.27,Timor-Leste,26.23,2.65,80.22,177.6,97.38
