,year,mean,max,min,median,std
0,2000,28.04,32.7,24.14,27.11,2.78
1,2001,28.16,32.81,24.26,27.22,2.79
2,2002,28.27,32.9,24.39,27.34,2.79
3,2003,28.37,33.0,24.51,27.44,2.8
4,2004,28.48,33.08,24.64,27.55,2.8
5,2005,28.58,33.17,24.76,27.65,2.81
6,2006,28.67,33.25,24.87,27.74,2.82
7,2007,28.76,33.32,24.99,27.83,2.82
8,2008,28.85,33.4,25.1,27.92,2.83
9,2009,28.93,33.48,25.21,28.0,2.84
10,2010,29.02,33.55,25.33,28.08,2.84
11,2011,29.1,33.68,25.44,28.16,2.86
12,2012,29.19,33.81,25.55,28.24,2.87
13,2013,29.27,33.94,25.67,28.32,2.88
14,2014,29.36,34.07,25.78,28.4,2.89
15,2015,29.44,34.21,25.89,28.48,2.9
