,year,mean,max,min,median,std,25%,75%,iqr
0,2000,22.08,26.53,19.75,21.75,1.36,21.19,22.7,1.51
1,2001,22.16,26.61,19.79,21.82,1.37,21.27,22.79,1.52
2,2002,22.23,26.69,19.83,21.88,1.37,21.34,22.89,1.55
3,2003,22.31,26.77,19.86,21.96,1.37,21.42,22.99,1.57
4,2004,22.38,26.85,19.89,22.02,1.38,21.49,23.08,1.58
5,2005,22.45,26.93,19.92,22.13,1.38,21.57,23.14,1.56
6,2006,22.52,27.01,19.95,22.2,1.38,21.64,23.18,1.54
7,2007,22.58,27.09,19.97,22.26,1.39,21.71,23.24,1.53
8,2008,22.65,27.17,19.98,22.32,1.4,21.78,23.3,1.51
9,2009,22.71,27.26,20.0,22.37,1.41,21.85,23.31,1.46
10,2010,22.76,27.35,20.01,22.42,1.42,21.88,23.33,1.44
11,2011,22.81,27.45,20.03,22.48,1.43,21.91,23.35,1.44
12,2012,22.86,27.54,20.04,22.53,1.44,21.94,23.38,1.43
13,2013,22.91,27.64,20.06,22.56,1.45,21.98,23.41,1.43
14,2014,22.96,27.73,20.08,22.59,1.46,22.02,23.44,1.42
15,2015,23.01,27.83,20.09,22.6,1.47,22.06,23.47,1.41
