,year,mean,max,min,median,std,25%,75%,iqr
0,2000,25.16,27.76,23.72,24.95,1.0,24.46,25.81,1.35
1,2001,25.26,27.89,23.81,25.05,1.0,24.54,25.9,1.35
2,2002,25.36,28.0,23.9,25.15,1.0,24.63,25.99,1.36
3,2003,25.46,28.12,23.99,25.26,1.01,24.72,26.08,1.35
4,2004,25.56,28.23,24.08,25.36,1.01,24.81,26.18,1.37
5,2005,25.66,28.33,24.17,25.47,1.01,24.9,26.28,1.38
6,2006,25.75,28.43,24.26,25.58,1.02,24.98,26.37,1.38
7,2007,25.85,28.52,24.35,25.69,1.02,25.07,26.47,1.4
8,2008,25.95,28.61,24.44,25.79,1.02,25.15,26.57,1.42
9,2009,26.05,28.68,24.53,25.91,1.02,25.24,26.67,1.43
10,2010,26.14,28.74,24.62,26.0,1.02,25.32,26.78,1.45
11,2011,26.24,28.8,24.71,26.09,1.03,25.42,26.88,1.46
12,2012,26.34,28.86,24.81,26.17,1.03,25.52,26.98,1.46
13,2013,26.43,29.1,24.9,26.26,1.03,25.62,27.09,1.46
14,2014,26.53,29.33,24.99,26.37,1.04,25.74,27.2,1.46
15,2015,26.62,29.57,25.09,26.5,1.05,25.86,27.3,1.43
