,year,mean,max,max_countries,min,min_countries,median,std,25%,75%,iqr
0,2000,23.79,27.66,Kuwait,19.91,Viet Nam,23.94,2.27,22.08,25.81,3.73
1,2001,23.87,27.74,Kuwait,20.0,Viet Nam,24.03,2.27,22.16,25.9,3.74
2,2002,23.95,27.83,Kuwait,20.09,Timor-Leste,24.12,2.27,22.21,25.99,3.78
3,2003,24.03,27.91,Kuwait,20.16,Timor-Leste,24.22,2.27,22.25,26.08,3.83
4,2004,24.11,28.0,Kuwait,20.24,Timor-Leste,24.34,2.27,22.29,26.18,3.89
5,2005,24.2,28.08,Kuwait,20.31,Timor-Leste,24.46,2.28,22.34,26.29,3.95
6,2006,24.28,28.17,Kuwait,20.39,Timor-Leste,24.59,2.28,22.38,26.4,4.02
7,2007,24.37,28.26,Kuwait,20.48,Timor-Leste,24.73,2.28,22.43,26.51,4.08
8,2008,24.45,28.35,Kuwait,20.56,Timor-Leste,24.87,2.28,22.47,26.63,4.16
9,2009,24.54,28.44,Kuwait,20.65,Timor-Leste,25.0,2.28,22.52,26.71,4.19
10,2010,24.63,28.55,Kuwait,20.74,Timor-Leste,24.98,2.29,22.57,26.79,4.22
11,2011,24.73,28.65,Kuwait,20.84,Timor-Leste,24.96,2.29,22.62,26.87,4.25
12,2012,24.82,28.76,Kuwait,20.94,Timor-Leste,24.97,2.29,22.67,26.95,4.28
13,2013,24.91,28.87,Kuwait,21.04,Timor-Leste,25.08,2.29,22.72,27.03,4.31
14,2014,25.01,28.98,Kuwait,21.15,Timor-Leste,25.19,2.3,22.78,27.11,4.33
15,2015,25.1,29.08,Kuwait,21.25,Timor-Leste,25.29,2.3,22.84,27.19,4.35
