,year,mean,max,min,median,std
0,2000,26.8,30.18,24.08,26.86,1.97
1,2001,26.87,30.21,24.16,26.96,1.96
2,2002,26.94,30.24,24.23,27.06,1.95
3,2003,27.01,30.27,24.31,27.16,1.94
4,2004,27.07,30.3,24.39,27.26,1.94
5,2005,27.14,30.32,24.47,27.35,1.93
6,2006,27.2,30.35,24.54,27.44,1.92
7,2007,27.27,30.38,24.62,27.52,1.91
8,2008,27.33,30.41,24.7,27.58,1.91
9,2009,27.4,30.45,24.78,27.66,1.9
10,2010,27.46,30.48,24.86,27.72,1.89
11,2011,27.52,30.52,24.95,27.76,1.88
12,2012,27.59,30.56,25.03,27.82,1.88
13,2013,27.65,30.6,25.12,27.86,1.87
14,2014,27.72,30.64,25.21,27.91,1.86
15,2015,27.79,30.68,25.31,27.96,1.85
