,year,mean,max,min,median,std,25%,75%,iqr
0,2000,1149.94,8063.66,122.96,527.04,1651.87,289.57,1140.02,850.45
1,2001,1118.55,8153.3,119.26,498.42,1571.84,300.52,1150.04,849.52
2,2002,1112.41,8864.17,110.46,529.32,1503.12,312.77,1113.64,800.86
3,2003,1316.89,9070.28,114.37,593.98,1713.2,358.27,1144.03,785.76
4,2004,1581.19,10827.67,128.54,731.86,2099.11,405.98,1302.75,896.76
5,2005,1850.53,11802.11,151.19,824.93,2549.48,448.13,1878.19,1430.06
6,2006,2060.53,12782.99,166.28,906.0,2846.94,449.74,2194.29,1744.55
7,2007,2319.69,13776.9,170.71,962.34,3158.59,510.22,2618.54,2108.32
8,2008,2691.22,19849.72,194.71,1115.3,3821.93,599.05,3097.29,2498.24
9,2009,2328.34,14398.77,204.54,1094.13,2906.66,640.15,2909.59,2269.44
10,2010,2597.29,14905.51,222.66,1166.32,3264.93,672.5,3041.58,2369.08
11,2011,2852.38,18659.42,236.45,1294.3,3642.85,721.24,3386.91,2665.66
12,2012,3002.71,18756.43,238.21,1289.99,3977.07,706.6,3478.6,2772.0
13,2013,3023.63,17644.59,241.55,1384.88,3807.83,727.65,3634.15,2906.5
14,2014,2983.76,16804.92,257.82,1450.63,3646.81,735.38,3575.5,2840.12
15,2015,2530.5,15333.11,289.36,1315.43,2980.87,705.62,3161.62,2456.0
