,year,mean,max,max_countries,min,min_countries,median,std,25%,75%,iqr
0,2000,6368.22,36329.97,United States of America,815.0,Haiti,3760.08,7958.67,1834.83,6526.71,4691.88
1,2001,6338.43,37133.62,United States of America,743.91,Haiti,3941.6,8048.71,1756.06,6461.97,4705.91
2,2002,6256.67,37997.74,United States of America,716.48,Haiti,3683.89,8317.14,2036.91,5277.45,3240.54
3,2003,6586.55,39490.3,United States of America,575.56,Haiti,3557.2,8764.9,2161.81,5745.56,3583.75
4,2004,7151.43,41724.64,United States of America,679.28,Haiti,4130.1,9328.34,2333.82,6339.95,4006.14
5,2005,7929.84,44123.4,United States of America,771.53,Haiti,4773.27,10082.28,2568.28,7213.32,4645.04
6,2006,8780.45,46301.99,United States of America,824.36,Haiti,5385.56,10685.7,3130.7,8518.59,5387.89
7,2007,9650.31,48050.23,United States of America,979.6,Haiti,6055.09,11309.2,3535.04,9077.12,5542.08
8,2008,10387.86,48570.06,United States of America,1089.58,Haiti,6641.5,11490.81,4201.16,9959.01,5757.84
9,2009,9616.42,47194.95,United States of America,1191.8,Haiti,6737.86,10484.25,4120.6,9175.32,5054.72
10,2010,10543.13,48650.66,United States of America,1204.86,Haiti,6760.97,11235.69,4657.8,11880.94,7223.14
11,2011,11414.33,52223.86,Canada,1306.85,Haiti,7392.94,11827.41,5221.77,13919.16,8697.38
12,2012,11844.15,52670.34,Canada,1356.17,Haiti,8096.8,12076.85,5539.25,14109.75,8570.5
13,2013,12168.15,53409.75,United States of America,1452.31,Haiti,8263.64,12186.5,5720.86,14028.66,8307.8
14,2014,12298.39,55304.32,United States of America,1454.65,Haiti,8167.47,12239.59,5763.46,13756.2,7992.74
15,2015,11950.56,57040.21,United States of America,1405.71,Haiti,8379.62,11806.01,5764.92,13729.31,7964.4
