,year,mean,max,max_countries,min,min_countries,median,std,25%,75%,iqr
0,2000,14021.78,48659.6,Luxembourg,440.54,Republic of Moldova,10201.3,13208.6,1816.74,24485.75,22669.01
1,2001,14161.5,48440.14,Luxembourg,507.4,Republic of Moldova,10402.23,13038.96,2004.98,24763.28,22758.3
2,2002,15622.24,53005.73,Luxembourg,570.8,Republic of Moldova,11289.89,14204.88,2330.69,26762.67,24431.98
3,2003,19087.45,65689.32,Luxembourg,682.32,Republic of Moldova,13669.5,17104.4,2990.27,32610.86,29620.59
4,2004,22109.08,76544.92,Luxembourg,897.18,Republic of Moldova,15197.06,19575.97,3802.58,37330.7,33528.12
5,2005,23646.82,80988.14,Luxembourg,1034.39,Republic of Moldova,15888.17,20837.57,4970.73,38736.16,33765.43
6,2006,25527.19,90788.8,Luxembourg,1183.02,Republic of Moldova,16723.88,22290.87,6338.86,40945.96,34607.1
7,2007,29862.62,107475.32,Luxembourg,1531.22,Republic of Moldova,19485.87,25462.56,8730.79,47695.86,38965.07
8,2008,32616.87,120422.14,Luxembourg,2110.55,Republic of Moldova,22804.58,27155.5,11035.25,50111.69,39076.44
9,2009,28668.53,109419.75,Luxembourg,1898.44,Republic of Moldova,21083.28,24187.22,8555.44,43249.02,34693.59
10,2010,28914.72,110885.99,Luxembourg,2436.8,Republic of Moldova,21798.91,24900.77,9536.4,43711.01,34174.61
11,2011,31782.12,119025.06,Luxembourg,2941.36,Republic of Moldova,23155.1,27554.36,11449.56,47562.58,36113.02
12,2012,30157.16,112584.68,Luxembourg,3044.81,Republic of Moldova,20563.71,26467.06,10957.78,45333.06,34375.27
13,2013,31534.8,120000.14,Luxembourg,3321.04,Republic of Moldova,21653.2,27468.46,11527.78,48281.46,36753.69
14,2014,32158.49,123678.7,Luxembourg,3104.65,Ukraine,21616.71,27730.93,12033.6,49175.56,37141.96
15,2015,28161.76,105462.01,Luxembourg,2124.66,Ukraine,18083.88,24297.85,9127.33,43498.87,34371.54
