,year,mean,max,max_countries,min,min_countries,median,std,25%,75%,iqr
0,2000,4689.28,21870.42,Australia,639.28,Papua New Guinea,1706.36,6804.17,1084.01,2070.12,986.11
1,2001,4438.49,19695.73,Australia,540.67,Papua New Guinea,1595.09,6329.88,1024.66,2105.43,1080.77
2,2002,4815.73,20301.84,Australia,509.03,Papua New Guinea,1635.28,6949.16,933.38,2163.39,1230.01
3,2003,5824.45,23718.13,Australia,580.6,Papua New Guinea,1857.94,8526.04,1142.7,2559.0,1416.3
4,2004,7032.09,30836.73,Australia,624.04,Papua New Guinea,2161.91,10639.67,1243.53,2892.46,1648.92
5,2005,7776.81,34479.77,Australia,748.74,Papua New Guinea,2367.22,11789.51,1323.06,3186.8,1863.74
6,2006,8001.27,36595.71,Australia,1121.08,Kiribati,2469.22,12040.47,1430.94,3300.69,1869.75
7,2007,9185.16,41051.61,Australia,1353.62,Kiribati,2571.89,13942.9,1599.71,3597.6,1997.89
8,2008,10094.56,49701.28,Australia,1411.91,Kiribati,2873.08,15761.1,1831.47,3782.7,1951.24
9,2009,8987.75,42816.57,Australia,1324.44,Kiribati,2756.94,13674.36,1802.34,3234.38,1432.04
10,2010,10676.62,52147.02,Australia,1528.9,Kiribati,3088.06,16652.83,2092.57,3488.09,1395.52
11,2011,12475.98,62609.66,Australia,1783.77,Kiribati,3427.19,19782.72,2449.23,4083.58,1634.34
12,2012,13321.88,68078.04,Australia,1855.27,Kiribati,3462.95,21315.9,2716.4,4373.88,1657.47
13,2013,13632.62,68198.42,Australia,1780.66,Kiribati,3455.3,21738.84,2653.24,4492.27,1839.03
14,2014,13302.37,62558.24,Australia,1740.36,Kiribati,3438.59,20553.07,2771.99,5010.15,2238.16
15,2015,12048.34,56758.87,Australia,1641.48,Kiribati,3469.9,18306.33,2537.52,4858.38,2320.85
