,year,mean,max,max_countries,min,min_countries,median,std,25%,75%,iqr
0,2000,4.32,10.52,Sao Tome and Principe,1.11,Equatorial Guinea,4.05,2.18,3.02,5.04,2.02
1,2001,4.52,10.84,Sao Tome and Principe,1.2,Equatorial Guinea,4.18,2.23,3.22,5.23,2.01
2,2002,4.66,10.7,Sao Tome and Principe,1.7,Democratic Republic of the Congo,4.29,2.28,3.28,5.47,2.19
3,2003,4.8,12.66,Sao Tome and Principe,1.83,Equatorial Guinea,4.45,2.28,3.56,5.34,1.78
4,2004,4.94,11.92,Sao Tome and Principe,1.45,Equatorial Guinea,4.6,2.32,3.79,5.5,1.7
5,2005,4.91,11.55,Sao Tome and Principe,1.3,Equatorial Guinea,4.42,2.5,3.78,5.72,1.94
6,2006,4.94,10.57,Namibia,1.29,Equatorial Guinea,4.8,2.35,3.74,5.72,1.98
7,2007,4.88,10.72,Namibia,1.3,Equatorial Guinea,4.6,2.38,3.83,5.44,1.61
8,2008,4.77,9.92,Namibia,1.12,Equatorial Guinea,4.47,2.54,3.67,5.46,1.79
9,2009,5.18,11.57,Liberia,1.77,Equatorial Guinea,4.78,2.68,3.85,5.7,1.85
10,2010,5.15,11.28,Burundi,1.62,Equatorial Guinea,4.69,2.61,3.78,5.46,1.68
11,2011,5.13,10.77,Sierra Leone,1.43,Equatorial Guinea,4.54,2.63,3.92,5.81,1.88
12,2012,5.04,10.04,Lesotho,1.51,Equatorial Guinea,4.57,2.56,3.91,6.02,2.1
13,2013,5.24,11.59,Sierra Leone,1.64,Equatorial Guinea,4.66,2.58,3.79,6.51,2.72
14,2014,5.41,19.69,Sierra Leone,1.75,Equatorial Guinea,4.85,2.73,3.88,6.42,2.54
15,2015,5.45,19.66,Sierra Leone,2.34,Equatorial Guinea,5.02,2.71,3.77,6.18,2.42
