,year,mean,max,max_countries,min,min_countries,median,std,25%,75%,iqr
0,2000,5.83,12.49,United States of America,2.98,Belize,5.4,2.02,4.4,6.79,2.38
1,2001,5.94,13.17,United States of America,3.06,Guyana,5.53,2.13,4.38,7.04,2.66
2,2002,6.08,14.0,United States of America,3.19,Guyana,5.73,2.16,4.76,7.16,2.41
3,2003,6.11,14.51,United States of America,3.27,Guyana,5.78,2.2,4.74,6.96,2.22
4,2004,6.1,14.55,United States of America,3.43,Haiti,5.8,2.16,4.78,7.07,2.28
5,2005,6.16,14.58,United States of America,3.31,Haiti,5.84,2.22,4.75,7.14,2.39
6,2006,6.17,14.71,United States of America,3.48,Haiti,5.86,2.24,4.52,7.29,2.77
7,2007,6.37,14.92,United States of America,3.65,Haiti,5.77,2.34,4.6,7.56,2.96
8,2008,6.47,15.21,United States of America,3.66,Cameroon,5.7,2.44,4.68,7.74,3.06
9,2009,6.88,16.2,United States of America,3.5,Cameroon,6.13,2.64,5.15,7.9,2.76
10,2010,6.83,16.2,United States of America,4.22,Ghana,6.12,2.49,5.14,7.93,2.79
11,2011,6.85,16.14,United States of America,4.17,Guyana,5.96,2.48,5.2,7.87,2.66
12,2012,6.8,16.12,United States of America,3.71,Guyana,6.53,2.42,5.08,7.78,2.7
13,2013,6.83,15.99,United States of America,3.8,Guyana,6.06,2.47,5.0,7.83,2.83
14,2014,6.93,16.2,United States of America,3.95,Guyana,6.63,2.55,4.92,7.94,3.03
15,2015,7.14,16.49,United States of America,4.02,Guyana,6.69,2.64,5.22,8.12,2.9
