,year,mean,max,max_countries,min,min_countries,median,std,25%,75%,iqr
0,2000,6.96,9.89,Germany,4.21,Romania,7.09,1.42,5.86,7.9,2.04
1,2001,7.14,9.92,Germany,4.38,Romania,7.17,1.36,5.97,8.04,2.07
2,2002,7.4,10.18,Germany,4.58,Romania,7.43,1.46,6.14,8.48,2.34
3,2003,7.64,10.4,Germany,5.14,Estonia,7.83,1.49,6.41,8.96,2.54
4,2004,7.71,10.23,Switzerland,4.76,Russian Federation,7.94,1.49,6.36,8.99,2.63
5,2005,7.77,10.31,Germany,4.77,Russian Federation,8.0,1.49,6.47,9.0,2.53
6,2006,7.69,10.54,Republic of Moldova,4.77,Russian Federation,7.83,1.56,6.48,8.94,2.47
7,2007,7.66,11.02,Republic of Moldova,4.75,Russian Federation,7.92,1.61,6.09,9.1,3.01
8,2008,7.83,10.95,Republic of Moldova,4.9,Russian Federation,7.92,1.68,6.31,9.38,3.07
9,2009,8.46,13.68,Republic of Moldova,5.28,Romania,8.77,1.88,6.9,10.02,3.12
10,2010,8.34,11.23,France,4.97,Russian Federation,8.36,1.68,6.81,9.93,3.12
11,2011,8.22,11.18,France,4.48,Romania,8.54,1.82,6.67,9.82,3.15
12,2012,8.29,11.3,France,4.51,Romania,8.72,1.87,6.86,9.8,2.94
13,2013,8.27,11.4,France,5.08,Russian Federation,8.5,1.84,6.6,9.84,3.24
14,2014,8.25,11.54,France,5.03,Romania,8.5,1.86,6.52,9.64,3.12
15,2015,8.25,11.45,France,4.94,China,8.5,1.83,6.66,9.73,3.06
