,year,mean,max,max_countries,min,min_countries,median,std,25%,75%,iqr
0,2000,5.22,8.65,Kiribati,2.02,Papua New Guinea,4.56,2.29,3.34,7.56,4.22
1,2001,5.85,12.3,Kiribati,2.3,Papua New Guinea,5.22,3.04,3.4,7.65,4.25
2,2002,6.34,11.87,Kiribati,2.78,Oman,6.18,3.05,3.67,7.9,4.23
3,2003,5.95,10.7,Kiribati,2.45,Papua New Guinea,5.62,2.83,3.46,7.84,4.38
4,2004,6.66,12.43,Kiribati,2.59,Papua New Guinea,6.12,3.37,3.78,8.04,4.26
5,2005,7.26,17.73,Micronesia (Federated States of),2.45,Papua New Guinea,6.3,4.5,3.58,8.83,5.25
6,2006,6.64,11.54,Kiribati,2.43,Papua New Guinea,6.72,3.04,3.73,8.48,4.75
7,2007,6.44,11.36,Kiribati,2.42,Libya,5.96,3.07,3.75,8.26,4.51
8,2008,6.8,14.08,Kiribati,2.14,Papua New Guinea,5.78,3.78,3.52,8.9,5.38
9,2009,6.9,13.49,Kiribati,2.33,Papua New Guinea,5.87,3.78,3.64,9.35,5.71
10,2010,6.41,13.11,Micronesia (Federated States of),2.11,Papua New Guinea,4.99,3.32,3.81,9.11,5.3
11,2011,6.31,13.1,Micronesia (Federated States of),2.29,Papua New Guinea,5.2,3.31,3.66,8.64,4.98
12,2012,6.38,12.28,Micronesia (Federated States of),2.67,Papua New Guinea,4.93,3.04,4.16,8.68,4.53
13,2013,6.51,12.1,Micronesia (Federated States of),3.0,Papua New Guinea,5.4,3.02,4.08,9.21,5.12
14,2014,6.75,11.72,Micronesia (Federated States of),3.27,Papua New Guinea,5.63,3.04,3.96,9.72,5.76
15,2015,6.46,12.46,Micronesia (Federated States of),1.82,Papua New Guinea,5.34,3.23,4.35,8.99,4.63
