,year,mean,max,min,median,std,25%,75%,iqr
0,2000,35.56,56.6,8.5,37.7,11.33,28.17,44.05,15.88
1,2001,34.79,54.3,8.8,36.95,11.12,28.12,43.12,15.0
2,2002,33.99,53.0,8.7,35.6,10.94,27.82,42.38,14.55
3,2003,33.25,52.3,8.5,34.3,10.76,28.0,41.55,13.55
4,2004,32.53,51.6,9.0,33.55,10.53,27.45,40.83,13.38
5,2005,31.79,51.0,8.9,32.9,10.36,26.6,40.2,13.6
6,2006,31.08,49.9,8.8,32.1,10.2,25.95,39.48,13.53
7,2007,30.39,49.0,8.8,31.25,10.05,25.25,38.75,13.5
8,2008,29.7,47.7,8.7,30.8,9.88,24.52,38.1,13.58
9,2009,29.0,47.4,8.9,30.4,9.73,23.42,37.2,13.78
10,2010,28.3,46.9,8.8,29.6,9.59,22.62,36.07,13.45
11,2011,27.61,46.0,8.4,28.7,9.44,21.85,35.0,13.15
12,2012,26.93,45.3,7.9,27.8,9.31,21.3,34.05,12.75
13,2013,26.25,44.7,7.7,27.25,9.16,20.52,33.22,12.7
14,2014,25.59,43.8,7.2,26.7,9.0,20.05,32.42,12.37
15,2015,24.99,43.0,7.1,25.95,8.86,19.62,31.68,12.05
