,year,mean,max,min,median,std
0,2000,14.05,30.2,3.7,13.5,6.83
1,2001,13.68,29.7,3.6,13.3,6.67
2,2002,13.36,29.6,3.9,12.8,6.55
3,2003,13.03,29.6,3.9,12.3,6.46
4,2004,12.72,29.6,3.4,12.0,6.39
5,2005,12.39,29.7,3.3,11.8,6.37
6,2006,12.09,29.6,3.0,11.5,6.32
7,2007,11.82,29.6,2.7,10.9,6.22
8,2008,11.56,29.7,2.8,10.3,6.19
9,2009,11.31,29.5,2.7,9.8,6.1
10,2010,11.13,31.6,2.8,9.6,6.23
11,2011,10.77,29.4,2.7,9.5,5.89
12,2012,10.56,29.4,2.5,9.2,5.81
13,2013,10.31,29.3,2.5,9.1,5.77
14,2014,10.09,29.3,2.4,8.9,5.67
15,2015,9.82,29.1,2.3,8.4,5.57
