,year,mean,max,min,median,std
0,2000,14.45,29.7,3.5,12.05,5.31
1,2001,14.26,29.5,3.3,11.85,5.36
2,2002,14.05,29.4,3.4,11.5,5.47
3,2003,13.86,29.3,3.2,11.35,5.52
4,2004,13.8,29.1,3.2,11.3,5.62
5,2005,13.66,29.0,3.2,11.3,5.71
6,2006,13.55,28.6,3.0,11.35,5.75
7,2007,13.37,28.2,3.0,11.05,5.81
8,2008,13.35,27.9,3.0,10.85,5.76
9,2009,13.11,27.6,2.9,10.45,5.78
10,2010,12.92,27.0,2.7,10.25,5.78
11,2011,12.78,26.7,2.6,10.0,5.76
12,2012,12.59,26.3,2.4,9.75,5.78
13,2013,12.37,25.7,2.4,9.75,5.75
14,2014,12.19,25.3,2.4,9.65,5.73
15,2015,11.87,24.5,2.2,9.6,5.73
