,year,mean,max,max_countries,minimum,min_countries,median,std,25%,75%,iqr
0,2000,55.08,73.69,Tunisia,44.52,Malawi,52.7,8.06,49.36,58.43,9.07
1,2001,55.37,73.82,Tunisia,41.96,Zimbabwe,53.15,8.1,49.9,58.57,8.67
2,2002,55.75,74.06,Tunisia,44.56,Zimbabwe,53.82,7.85,50.6,58.96,8.36
3,2003,56.16,74.31,Tunisia,43.39,Zimbabwe,54.1,7.76,50.95,59.22,8.27
4,2004,56.72,74.49,Tunisia,43.71,Lesotho,55.26,7.7,51.57,59.89,8.33
5,2005,57.24,74.76,Tunisia,43.23,Lesotho,55.71,7.58,52.34,60.37,8.03
6,2006,57.86,74.92,Tunisia,42.91,Lesotho,56.14,7.43,53.46,61.06,7.6
7,2007,58.45,75.07,Tunisia,43.12,Lesotho,56.52,7.34,54.22,61.64,7.42
8,2008,59.0,75.18,Tunisia,43.57,Lesotho,57.36,7.15,54.81,61.91,7.1
9,2009,59.61,75.27,Tunisia,44.03,Lesotho,58.12,7.0,55.77,62.71,6.93
10,2010,60.21,75.42,Tunisia,45.6,Lesotho,59.16,6.75,56.44,62.98,6.55
11,2011,60.73,75.46,Tunisia,46.69,Lesotho,60.02,6.45,57.08,63.33,6.25
12,2012,61.36,75.55,Tunisia,47.84,Lesotho,60.36,6.39,57.65,63.74,6.08
13,2013,61.85,75.65,Tunisia,49.0,Lesotho,60.73,6.22,58.29,63.95,5.66
14,2014,62.27,75.65,Tunisia,50.03,Lesotho,61.27,6.13,58.85,64.27,5.42
15,2015,62.74,75.69,Tunisia,51.1,Lesotho,61.64,5.97,59.21,64.66,5.45
