,year,mean,max,max_countries,minimum,min_countries,median,std,25%,75%,iqr
0,2000,69.13,81.08,Japan,55.3,Afghanistan,70.36,5.96,64.89,73.47,8.58
1,2001,69.59,81.42,Japan,55.8,Afghanistan,70.79,5.87,65.16,73.81,8.65
2,2002,69.96,81.69,Japan,56.45,Afghanistan,71.02,5.76,65.39,73.87,8.48
3,2003,70.31,81.76,Japan,57.34,Afghanistan,71.37,5.68,65.64,74.14,8.5
4,2004,70.48,82.03,Japan,57.94,Afghanistan,71.37,5.64,65.75,74.33,8.58
5,2005,70.92,81.96,Japan,58.36,Afghanistan,71.84,5.58,65.86,74.73,8.87
6,2006,71.23,82.32,Japan,58.68,Afghanistan,71.99,5.53,66.36,74.94,8.58
7,2007,71.53,82.51,Japan,59.11,Afghanistan,72.33,5.51,66.71,75.19,8.48
8,2008,71.7,82.59,Japan,56.51,Myanmar,72.4,5.71,67.11,75.49,8.38
9,2009,72.16,82.93,Japan,60.36,Afghanistan,72.7,5.37,67.9,75.84,7.94
10,2010,72.55,82.84,Japan,60.85,Afghanistan,73.16,5.34,68.29,76.27,7.98
11,2011,72.83,82.59,Japan,61.42,Afghanistan,73.31,5.26,68.57,76.61,8.04
12,2012,72.99,83.1,Japan,61.92,Afghanistan,73.45,5.32,68.72,77.06,8.34
13,2013,73.22,83.33,Japan,62.42,Afghanistan,73.68,5.37,68.89,77.25,8.36
14,2014,73.46,83.59,Japan,62.54,Afghanistan,73.86,5.41,69.07,77.45,8.38
15,2015,73.69,83.79,Japan,62.66,Afghanistan,73.88,5.36,69.64,77.72,8.08
