,year,mean,max,max_countries,minimum,min_countries,median,std
0,2000,74.86,79.78,Italy,65.48,Russian Federation,75.41,3.89
1,2001,75.2,80.69,Iceland,65.38,Russian Federation,75.76,3.98
2,2002,75.29,80.5,Iceland,65.13,Russian Federation,76.01,4.0
3,2003,75.48,80.96,Iceland,65.03,Russian Federation,76.86,3.98
4,2004,75.93,81.09,Switzerland,65.47,Russian Federation,77.21,4.04
5,2005,76.02,81.5,Iceland,65.53,Russian Federation,77.61,4.14
6,2006,76.32,81.49,Switzerland,66.73,Russian Federation,78.09,4.13
7,2007,76.54,81.74,Switzerland,67.59,Russian Federation,78.2,4.09
8,2008,76.89,81.99,Switzerland,67.95,Russian Federation,78.45,3.99
9,2009,77.18,82.04,Switzerland,68.68,Russian Federation,78.6,3.86
10,2010,77.49,82.25,Switzerland,68.84,Russian Federation,79.03,3.85
11,2011,77.9,82.7,Switzerland,69.19,Republic of Moldova,79.8,3.85
12,2012,78.03,82.92,Iceland,69.14,Republic of Moldova,80.05,3.75
13,2013,78.29,83.08,Spain,69.1,Republic of Moldova,80.3,3.73
14,2014,78.57,83.23,Spain,69.03,Republic of Moldova,80.7,3.87
15,2015,78.52,82.9,Switzerland,69.24,Republic of Moldova,80.64,3.71
