,year,mean,max,max_countries,min,min_countries,median,std,25%,75%,iqr
0,2000,16507842.44,122851984,Nigeria,81131,Seychelles,9797711.5,22235704.45,2745058.25,19191252.75,16446194.5
1,2001,16900407.3,126152678,Nigeria,81202,Seychelles,9966575.0,22792296.64,2816779.25,19701861.75,16885082.5
2,2002,17305141.16,129583026,Nigeria,83723,Seychelles,10137755.5,23370477.76,2881427.0,20242481.0,17361054.0
3,2003,17719121.36,133119801,Nigeria,82781,Seychelles,10314151.0,23963058.46,2933787.75,20793824.0,17860036.25
4,2004,18146453.34,136756848,Nigeria,82475,Seychelles,10495458.0,24570255.61,2990543.0,21353435.75,18362892.75
5,2005,18587996.1,140490722,Nigeria,82858,Seychelles,10681200.5,25193964.44,3075849.5,21925491.75,18849642.25
6,2006,19045132.94,144329764,Nigeria,84600,Seychelles,10873472.5,25836426.86,3174771.0,22507935.0,19333164.0
7,2007,19518567.12,148294028,Nigeria,85033,Seychelles,11143300.0,26502534.96,3273316.0,23101368.25,19828052.25
8,2008,20007113.34,152382506,Nigeria,86956,Seychelles,11485796.5,27190132.94,3370973.75,23705958.0,20334984.25
9,2009,20510235.0,156595758,Nigeria,87298,Seychelles,11845578.5,27895279.59,3468228.5,24339990.0,20871761.5
10,2010,21027405.1,160952853,Nigeria,89770,Seychelles,12212424.0,28627284.24,3569584.75,25022085.5,21452500.75
11,2011,21553336.32,165463745,Nigeria,87441,Seychelles,12596805.0,29400270.76,3688474.25,25719233.5,22030759.25
12,2012,22095029.7,170075932,Nigeria,88303,Seychelles,12993369.5,30196666.97,3810019.75,26441144.5,22631124.75
13,2013,22658819.94,174726123,Nigeria,89949,Seychelles,13386094.0,31004775.08,3914047.5,27180948.25,23266900.75
14,2014,23240389.72,179379016,Nigeria,91359,Seychelles,13776439.5,31828181.5,4012230.0,27929352.75,23917122.75
15,2015,23833975.74,183995785,Nigeria,93419,Seychelles,14147605.5,32660585.34,4112747.25,28685134.5,24572387.25
