,year,mean,max,max_countries,min,min_countries,median,std,25%,75%,iqr
0,2000,63509223.84,1262645000,Chile,75055,Antigua and Barbuda,3759170.0,226621900.12,507878.0,10091208.5,9583330.5
1,2001,64085719.29,1271850000,Chile,76215,Antigua and Barbuda,3844773.0,228312381.04,517567.5,10308824.5,9791257.0
2,2002,64637234.1,1280400000,Chile,77195,Antigua and Barbuda,3930648.0,229884493.74,527356.5,10524050.5,9996694.0
3,2003,65159795.1,1288400000,Chile,78075,Antigua and Barbuda,4026841.0,231356029.14,536955.0,10736356.0,10199401.0
4,2004,65675769.19,1296075000,Chile,78941,Antigua and Barbuda,4115138.0,232778460.66,545863.0,10949193.5,10403330.5
5,2005,66190161.71,1303720000,Chile,79869,Antigua and Barbuda,4208834.0,234196104.97,554451.5,11162840.0,10608388.5
6,2006,66694380.84,1311020000,Chile,80895,Antigua and Barbuda,4294352.0,235559060.33,563340.5,11377996.5,10814656.0
7,2007,67180899.68,1317885000,Chile,82016,Antigua and Barbuda,4310217.0,236846650.73,572422.5,11594084.5,11021662.0
8,2008,67661890.84,1324655000,Chile,83251,Antigua and Barbuda,4309705.0,238117340.39,581704.0,11809946.0,11228242.0
9,2009,68130117.35,1331260000,Chile,84534,Antigua and Barbuda,4305181.0,239353338.63,591240.0,12025753.5,11434513.5
10,2010,68582146.42,1337705000,Chile,85695,Antigua and Barbuda,4295427.0,240560377.34,601052.0,12241478.5,11640426.5
11,2011,69069540.87,1345035000,Chile,86729,Antigua and Barbuda,4280622.0,241907998.12,611108.5,12458880.5,11847772.0
12,2012,69616649.45,1354190000,Chile,87674,Antigua and Barbuda,4267558.0,243566525.15,621332.0,12675819.5,12054487.5
13,2013,70153016.48,1363240000,Chile,88497,Antigua and Barbuda,4255689.0,245202417.51,631670.0,12893665.0,12261995.0
14,2014,70677070.71,1371860000,Chile,89236,Antigua and Barbuda,4238389.0,246769619.51,642147.0,13111651.5,12469504.5
15,2015,71180882.65,1379860000,Chile,89941,Antigua and Barbuda,4203604.0,248231439.69,652845.5,13328752.0,12675906.5
