,year,mean,max,max_countries,min,min_countries,median,std,25%,75%,iqr
0,2000,54782018.53,1059633675,India,282507,Maldives,15091594.0,158170050.52,4027887.0,45538332.0,41510445.0
1,2001,55714108.27,1078970907,India,287324,Maldives,15493253.0,161047532.9,4014373.0,46014826.0,42000453.0
2,2002,56640455.51,1098313039,India,292284,Maldives,15914033.0,163907842.63,3978515.0,46480230.0,42501715.0
3,2003,57551770.09,1117415123,India,297226,Maldives,16354326.0,166725627.96,3951736.0,46924293.0,42972557.0
4,2004,58449373.11,1136264583,India,302135,Maldives,16809407.0,169508482.98,3993339.0,47338446.0,43345107.0
5,2005,59340549.87,1154638713,India,307018,Maldives,17275171.0,172219332.52,4265762.0,47724471.0,43458709.0
6,2006,60234932.27,1172373788,India,314401,Maldives,17751333.0,174831926.72,4401365.0,48088274.0,43686909.0
7,2007,61114512.58,1189691809,India,325126,Maldives,18251866.0,177386252.33,4588599.0,48445647.0,43857048.0
8,2008,62007531.82,1206734806,India,336883,Maldives,18777081.0,179900312.62,4839396.0,48729486.0,43890090.0
9,2009,62906213.67,1223640160,India,349037,Maldives,19319274.0,182397677.03,4951135.0,49015836.0,44064701.0
10,2010,63809821.24,1240613620,India,361575,Maldives,19878036.0,184916648.35,4995800.0,49390988.0,44395188.0
11,2011,64706916.42,1257621191,India,374440,Maldives,20448873.0,187439576.64,5045056.0,49794522.0,44749466.0
12,2012,65579904.07,1274487215,India,387539,Maldives,21017147.0,189938019.67,5178337.0,50199853.0,45021516.0
13,2013,66434007.62,1291132063,India,400728,Maldives,21131756.0,192398057.21,5399162.0,50428893.0,45029731.0
14,2014,67278751.44,1307246509,India,416656,Brunei Darussalam,20072232.0,194777746.94,5469724.0,50746659.0,45276935.0
15,2015,68105907.56,1322866505,India,421437,Brunei Darussalam,19205178.0,197085398.26,5535002.0,51014947.0,45479945.0
