,year,mean,max,max_countries,min,min_countries,median,std,25%,75%,iqr
0,2000,18936382.56,146596869,Russian Federation,281205,Iceland,8011566.0,28827462.95,3294281.5,16362591.5,13068310.0
1,2001,18944827.67,145976482,Russian Federation,284968,Iceland,8009142.0,28779761.7,3265495.5,16645824.0,13380328.5
2,2002,18959321.69,145306497,Russian Federation,287523,Iceland,7837161.0,28737606.19,3247038.5,16916413.0,13669374.5
3,2003,18989593.72,144648618,Russian Federation,289521,Iceland,7775327.0,28704598.8,3227414.5,17170876.5,13943462.0
4,2004,19025098.85,144067316,Russian Federation,292074,Iceland,7716860.0,28685974.85,3202007.0,17413341.0,14211334.0
5,2005,19060504.46,143518814,Russian Federation,296734,Iceland,7658972.0,28671353.12,3167007.5,17645041.5,14478034.0
6,2006,19096258.62,143049637,Russian Federation,303782,Iceland,7601022.0,28660601.81,3131228.0,17870079.0,14738851.0
7,2007,19140795.92,142805114,Russian Federation,311566,Iceland,7551117.0,28680277.08,3100655.5,18099698.0,14999042.5
8,2008,19189580.31,142742366,Russian Federation,317414,Iceland,7647675.0,28719523.54,3072772.5,18345021.0,15272248.5
9,2009,19233701.0,142785348,Russian Federation,318499,Iceland,7743831.0,28757012.7,3045217.5,18448937.5,15403720.0
10,2010,19269480.18,142849468,Russian Federation,318041,Iceland,7824909.0,28794255.35,3005151.5,18431132.5,15425981.0
11,2011,19272804.0,143018195,Russian Federation,319014,Iceland,7912398.0,28766639.11,2966655.0,18420301.0,15453646.0
12,2012,19319091.38,143378447,Russian Federation,320716,Iceland,7996861.0,28849359.56,2944087.0,18406498.5,15462411.5
13,2013,19379227.18,143805638,Russian Federation,323764,Iceland,8089346.0,28958001.95,2926390.5,18394062.5,15467672.0
14,2014,19440759.26,144237223,Russian Federation,327386,Iceland,8188649.0,29066506.32,2910735.5,18386993.5,15476258.0
15,2015,19503279.54,144640716,Russian Federation,330815,Iceland,8282396.0,29173539.26,2892806.5,18377769.5,15484963.0
