,year,mean,max,min,median,std,25%,75%,iqr
0,2000,3033650.6,19028802,88826,311026.0,5623768.59,129783.75,3101402.25,2971618.5
1,2001,3082365.8,19274701,90531,318714.5,5701243.35,130343.5,3120705.0,2990361.5
2,2002,3133390.8,19495210,92400,326442.5,5772592.26,130651.5,3173847.75,3043196.25
3,2003,3186365.4,19720737,94302,334237.0,5845993.45,130713.75,3234976.5,3104262.75
4,2004,3236506.0,19932722,96224,342103.5,5915760.6,130596.75,3282298.5,3151701.75
5,2005,3288796.6,20176844,98164,350059.0,5994841.92,130361.5,3319155.75,3188794.25
6,2006,3344917.2,20450966,100083,358176.5,6082850.31,130070.5,3359220.75,3229150.25
7,2007,3410474.6,20827622,101998,366482.0,6199904.83,129768.5,3390512.0,3260743.5
8,2008,3480506.0,21249199,103966,374976.5,6329944.44,129474.75,3419032.75,3289558.0
9,2009,3553623.2,21691653,105996,383761.0,6466307.12,129195.0,3452295.75,3323100.75
10,2010,3617437.3,22031750,107383,392923.5,6574331.23,129664.25,3489317.25,3359653.0
11,2011,3676575.1,22340024,107611,402507.5,6673352.79,131491.0,3515088.75,3383597.75
12,2012,3742972.1,22733465,107502,412538.0,6796045.73,133244.5,3533839.75,3400595.25
13,2013,3810415.6,23128129,107089,422949.5,6919243.98,134968.0,3559938.25,3424970.25
14,2014,3877159.3,23475686,106626,433651.0,7029722.61,136678.0,3616265.0,3479587.0
15,2015,3944972.9,23815995,106122,444549.0,7138428.06,138423.0,3686350.0,3547927.0
