,year,mean,max,max_countries,min,min_countries,median,std,25%,75%,iqr
0,2000,7.07,32.4,Sao Tome and Principe,1.41,Equatorial Guinea,6.66,4.71,3.02,5.04,2.02
1,2001,6.82,15.98,Namibia,1.41,Equatorial Guinea,6.77,3.02,3.22,5.23,2.01
2,2002,6.81,17.18,Namibia,1.34,Democratic Republic of the Congo,6.44,3.03,3.28,5.47,2.19
3,2003,7.22,16.82,Namibia,1.45,Equatorial Guinea,6.77,3.33,3.56,5.34,1.78
4,2004,7.16,17.39,Namibia,1.49,Equatorial Guinea,6.65,3.27,3.79,5.5,1.7
5,2005,7.01,16.27,Namibia,1.46,Equatorial Guinea,6.41,3.11,3.78,5.72,1.94
6,2006,6.78,15.75,Namibia,1.44,Equatorial Guinea,6.64,3.11,3.74,5.72,1.98
7,2007,6.67,17.98,El Salvador,1.47,Equatorial Guinea,6.32,3.12,3.83,5.44,1.61
8,2008,6.27,14.55,Namibia,1.5,Equatorial Guinea,5.9,2.86,3.67,5.46,1.79
9,2009,6.3,14.02,Sudan,1.48,Equatorial Guinea,5.96,2.94,3.85,5.7,1.85
10,2010,6.54,15.22,Zimbabwe,1.46,Equatorial Guinea,6.17,3.36,3.78,5.46,1.68
11,2011,6.5,14.68,South Africa,1.47,Equatorial Guinea,6.68,3.03,3.92,5.81,1.88
12,2012,6.5,14.47,South Africa,1.49,Equatorial Guinea,6.06,2.87,3.91,6.02,2.1
13,2013,6.5,14.34,South Africa,1.25,Liberia,6.25,2.87,3.79,6.51,2.72
14,2014,6.8,14.92,South Africa,1.49,Equatorial Guinea,6.22,3.36,3.88,6.42,2.54
15,2015,6.51,15.27,Madagascar,1.33,Equatorial Guinea,5.56,3.22,3.77,6.18,2.42
