,year,mean,max,max_countries,min,min_countries,median,std,25%,75%,iqr
0,2000,12.26,25.26,Costa Rica,4.14,Ecuador,11.84,4.31,4.4,6.79,2.38
1,2001,11.97,24.56,Costa Rica,6.21,Ecuador,11.39,4.17,4.38,7.04,2.66
2,2002,11.92,24.76,Costa Rica,6.55,Ecuador,10.87,4.34,4.76,7.16,2.41
3,2003,12.0,26.33,Costa Rica,6.14,Jamaica,11.15,4.44,4.74,6.96,2.22
4,2004,12.36,25.74,Costa Rica,6.86,Saint Lucia,11.68,4.34,4.78,7.07,2.28
5,2005,12.02,25.71,Costa Rica,6.16,Saint Lucia,11.67,4.31,4.75,7.14,2.39
6,2006,11.95,29.51,Costa Rica,2.99,Haiti,11.57,5.19,4.52,7.29,2.77
7,2007,12.55,31.21,Costa Rica,6.61,Guyana,11.59,5.15,4.6,7.56,2.96
8,2008,12.51,32.38,Costa Rica,6.15,Ecuador,12.57,5.35,4.68,7.74,3.06
9,2009,12.91,33.1,Costa Rica,6.33,Antigua and Barbuda,12.48,5.49,5.15,7.9,2.76
10,2010,13.09,31.74,Costa Rica,6.43,Haiti,13.69,5.08,5.14,7.93,2.79
11,2011,13.06,32.77,Costa Rica,2.98,Haiti,12.99,5.44,5.2,7.87,2.66
12,2012,13.0,31.29,Costa Rica,2.78,Haiti,12.84,5.22,5.08,7.78,2.7
13,2013,13.08,29.15,Costa Rica,3.0,Haiti,12.33,4.99,5.0,7.83,2.83
14,2014,13.46,29.14,Costa Rica,3.2,Haiti,13.11,5.31,4.92,7.94,3.03
15,2015,13.87,29.49,Costa Rica,4.4,Haiti,12.82,5.19,5.22,8.12,2.9
