,year,mean,max,max_countries,min,min_countries,median,std,25%,75%,iqr
0,2000,7.1,15.07,Japan,1.36,Myanmar,7.03,3.14,3.06,4.88,1.82
1,2001,7.06,15.95,Japan,1.41,Equatorial Guinea,6.65,3.06,3.03,5.05,2.02
2,2002,7.09,16.06,Japan,1.21,Afghanistan,7.02,3.0,3.12,5.14,2.02
3,2003,7.22,16.36,Canada,1.62,Timor-Leste,7.13,2.92,3.0,5.19,2.19
4,2004,7.24,17.2,Japan,1.92,Myanmar,6.82,2.98,3.14,5.41,2.27
5,2005,7.28,17.75,Japan,1.29,Myanmar,7.34,2.97,3.02,5.3,2.28
6,2006,7.33,17.87,Japan,1.91,Myanmar,7.56,3.08,2.93,5.46,2.53
7,2007,7.3,18.23,Japan,1.27,Timor-Leste,7.2,3.32,2.84,5.36,2.52
8,2008,7.34,18.1,Japan,1.32,Myanmar,6.74,3.71,3.01,5.91,2.9
9,2009,7.55,18.06,Japan,1.44,Myanmar,6.53,3.88,3.4,6.11,2.71
10,2010,7.54,18.93,Japan,1.35,Myanmar,6.84,3.88,3.2,6.29,3.09
11,2011,7.56,21.69,Japan,1.65,Myanmar,6.52,4.15,2.99,6.1,3.11
12,2012,7.67,22.22,Japan,1.37,Afghanistan,6.55,4.18,3.16,6.12,2.96
13,2013,7.96,22.22,Japan,1.78,Afghanistan,7.1,4.25,3.23,6.53,3.3
14,2014,8.36,22.6,Iran (Islamic Republic of),1.86,Afghanistan,7.78,4.61,3.53,6.67,3.14
15,2015,8.62,23.15,Japan,1.68,Iraq,8.29,4.63,3.76,6.79,3.03
