,year,mean,max,max_countries,min,min_countries,median,std,25%,75%,iqr
0,2000,88.03,186.7,Sierra Leone,5.2,Seychelles,88.9,44.86,58.4,124.15,65.75
1,2001,85.91,183.0,Sierra Leone,4.5,Seychelles,82.5,43.84,59.92,116.58,56.65
2,2002,81.67,177.7,Sierra Leone,5.0,Seychelles,79.95,41.06,57.18,110.18,53.0
3,2003,78.07,172.2,Sierra Leone,4.8,Seychelles,73.1,40.49,54.8,101.3,46.5
4,2004,72.29,151.6,Niger,4.8,Seychelles,69.8,36.71,52.97,92.65,39.68
5,2005,67.5,144.1,Sierra Leone,4.8,Antigua and Barbuda,66.25,34.44,49.3,89.2,39.9
6,2006,62.97,140.1,Sierra Leone,5.4,Kuwait,64.9,31.95,45.48,82.32,36.85
7,2007,59.55,134.9,Sierra Leone,5.3,Seychelles,59.85,30.61,42.58,79.73,37.15
8,2008,56.81,129.7,Sierra Leone,5.3,Seychelles,56.6,29.62,39.72,76.88,37.15
9,2009,54.35,124.0,Sierra Leone,5.4,Jamaica,54.1,29.24,36.62,70.68,34.05
10,2010,51.23,117.2,Sierra Leone,5.3,Bahrain,48.45,27.37,35.38,70.2,34.83
11,2011,48.87,110.6,Sierra Leone,5.3,Albania,45.15,26.56,34.58,67.75,33.17
12,2012,46.3,104.2,Sierra Leone,5.9,Brunei Darussalam,42.25,25.41,32.45,66.0,33.55
13,2013,43.84,97.0,Sierra Leone,5.8,Brunei Darussalam,39.8,24.41,30.55,62.78,32.22
14,2014,41.64,93.4,Chad,5.5,China,38.6,23.19,28.5,60.82,32.33
15,2015,40.32,89.6,Chad,5.5,Mauritius,36.15,22.45,26.9,57.78,30.88
