,year,mean,max,max_countries,min,min_countries,median,std,25%,75%,iqr
0,2000,15.09,72.7,Haiti,2.6,Australia,11.5,13.91,6.9,17.65,10.75
1,2001,14.43,69.8,Haiti,2.5,Canada,11.2,13.23,6.8,16.8,10.0
2,2002,13.76,67.1,Haiti,2.3,Canada,10.8,12.6,6.45,16.1,9.65
3,2003,13.2,64.3,Haiti,2.2,Austria,10.7,11.95,6.15,15.45,9.3
4,2004,12.65,61.8,Haiti,2.1,Austria,10.3,11.33,6.1,14.8,8.7
5,2005,12.14,59.9,Haiti,2.0,Austria,9.9,10.83,5.9,14.05,8.15
6,2006,11.65,57.7,Haiti,1.9,Canada,9.9,10.3,5.6,13.3,7.7
7,2007,11.2,56.1,Haiti,1.9,Austria,9.4,9.92,5.4,12.65,7.25
8,2008,10.79,54.6,Haiti,1.9,Canada,9.0,9.56,5.3,11.85,6.55
9,2009,10.31,53.3,Haiti,1.9,Australia,8.9,9.26,5.15,11.3,6.15
10,2010,14.3,187.1,Haiti,1.9,Australia,8.6,31.89,5.1,10.85,5.75
11,2011,9.51,49.7,Haiti,1.7,Austria,8.2,8.54,4.9,10.55,5.65
12,2012,9.18,48.9,Haiti,1.7,Australia,8.0,8.38,4.55,10.4,5.85
13,2013,8.82,47.8,Haiti,1.6,Australia,7.8,8.16,4.55,9.9,5.35
14,2014,8.56,47.0,Haiti,1.6,Canada,7.2,7.99,4.45,9.6,5.15
15,2015,8.24,45.7,Haiti,1.6,Bosnia and Herzegovina,6.8,7.76,4.3,9.25,4.95
