,year,mean,max,max_countries,min,min_countries,median,std,25%,75%,iqr
0,2000,26.28,74.0,Cambodia,2.2,Singapore,16.5,22.02,7.6,44.0,36.4
1,2001,24.76,69.0,Lao People's Democratic Republic,2.3,Singapore,15.4,20.82,7.5,42.0,34.5
2,2002,22.99,68.5,Lao People's Democratic Republic,2.1,Luxembourg,14.4,19.12,7.4,39.1,31.7
3,2003,21.59,71.7,Lao People's Democratic Republic,1.9,Denmark,12.3,18.23,7.1,37.3,30.2
4,2004,20.97,70.9,Lao People's Democratic Republic,1.8,Italy,12.9,17.42,7.0,37.2,30.2
5,2005,18.96,64.4,Lao People's Democratic Republic,1.7,Iceland,10.7,16.17,6.8,30.9,24.1
6,2006,17.87,59.6,Lao People's Democratic Republic,1.6,Denmark,10.0,15.44,6.5,28.2,21.7
7,2007,16.62,61.9,Lao People's Democratic Republic,1.6,Denmark,9.7,14.61,6.2,25.7,19.5
8,2008,15.93,61.2,Myanmar,1.6,Singapore,9.2,14.42,5.6,23.9,18.3
9,2009,14.71,48.5,Lao People's Democratic Republic,1.5,Singapore,8.9,12.65,5.2,21.8,16.6
10,2010,13.94,47.0,Lao People's Democratic Republic,1.5,Singapore,8.5,12.02,5.2,20.6,15.4
11,2011,13.41,45.8,Lao People's Democratic Republic,1.5,Cyprus,8.0,11.61,4.9,19.8,14.9
12,2012,12.79,42.9,Comoros,1.4,Cyprus,7.6,11.01,4.5,18.5,14.0
13,2013,12.15,41.2,Lao People's Democratic Republic,1.3,Cyprus,7.5,10.37,4.1,16.5,12.4
14,2014,11.72,39.9,Comoros,1.4,Austria,7.0,9.94,4.2,15.8,11.6
15,2015,11.24,38.0,Lao People's Democratic Republic,1.2,Cyprus,6.8,9.51,4.0,15.1,11.1
