,year,mean,max,max_countries,min,min_countries,median,std,25%,75%,iqr
0,2000,4.66,14.4,Albania,1.6,Finland,2.9,3.19,2.4,6.2,3.8
1,2001,4.37,13.2,Albania,1.5,Finland,2.9,2.92,2.2,5.8,3.6
2,2002,4.08,12.0,Albania,1.4,Finland,2.7,2.66,2.15,5.35,3.2
3,2003,3.83,11.1,Albania,1.3,Finland,2.7,2.45,2.05,5.0,2.95
4,2004,3.58,10.1,Albania,1.0,Finland,2.5,2.25,2.0,4.8,2.8
5,2005,3.37,9.3,Romania,0.9,Finland,2.4,2.06,1.9,4.55,2.65
6,2006,3.15,8.4,Romania,0.8,Finland,2.3,1.88,1.8,4.35,2.55
7,2007,2.97,7.5,Albania,0.7,Finland,2.2,1.71,1.8,4.1,2.3
8,2008,2.84,7.0,Romania,0.6,Finland,2.2,1.58,1.75,3.9,2.15
9,2009,2.69,6.4,Romania,0.6,Finland,2.0,1.49,1.65,3.6,1.95
10,2010,2.55,6.2,Romania,0.6,Finland,2.0,1.41,1.6,3.25,1.65
11,2011,2.45,6.2,Mauritius,0.8,Finland,1.9,1.36,1.65,2.95,1.3
12,2012,2.36,6.0,Romania,1.0,Finland,1.9,1.27,1.5,2.8,1.3
13,2013,2.26,5.8,Brunei Darussalam,0.8,Luxembourg,1.9,1.26,1.4,2.55,1.15
14,2014,2.16,5.4,Romania,0.8,Finland,1.7,1.17,1.4,2.5,1.1
15,2015,2.09,5.0,Romania,0.6,Finland,1.7,1.09,1.4,2.45,1.05
