,year,mean,max,min,median,std
0,2000,19.17,48.0,2.6,15.0,14.66
1,2001,18.75,47.5,2.4,14.6,14.36
2,2002,18.96,50.7,2.5,15.05,14.9
3,2003,18.47,47.4,2.4,15.05,14.04
4,2004,17.82,44.8,2.3,14.4,13.48
5,2005,17.64,43.7,2.3,14.2,13.26
6,2006,17.52,41.7,2.4,14.35,12.78
7,2007,17.26,41.3,2.2,14.4,12.71
8,2008,17.11,40.6,2.2,14.55,12.46
9,2009,17.3,39.4,1.9,14.85,12.06
10,2010,16.5,37.9,1.9,14.55,11.86
11,2011,16.22,36.6,1.9,14.55,11.42
12,2012,15.76,35.7,1.7,14.3,11.13
13,2013,15.35,35.0,1.6,14.05,10.8
14,2014,14.95,33.5,1.5,13.8,10.51
15,2015,14.62,33.0,1.4,13.8,10.15
