,year,mean,max,max_countries,min,min_countries,std,25%,75%,iqr
0,2000,76.08,81.08,Japan,69.1,Trinidad and Tobago,2.85,74.09,78.24,4.15
1,2001,76.43,81.42,Japan,69.65,Trinidad and Tobago,2.85,74.4,78.63,4.24
2,2002,76.59,81.69,Japan,70.49,Trinidad and Tobago,2.85,74.61,78.71,4.1
3,2003,76.76,81.76,Japan,69.73,Trinidad and Tobago,2.88,74.6,78.94,4.34
4,2004,77.2,82.03,Japan,71.08,Trinidad and Tobago,2.84,75.18,79.37,4.19
5,2005,77.36,81.96,Japan,71.25,Lithuania,2.93,75.12,79.64,4.52
6,2006,77.6,82.32,Japan,70.87,Latvia,3.02,75.45,79.96,4.52
7,2007,77.79,82.51,Japan,70.9,Lithuania,3.04,75.53,80.17,4.64
8,2008,78.07,82.59,Japan,71.47,Trinidad and Tobago,2.96,75.72,80.49,4.76
9,2009,78.37,82.93,Japan,72.58,Bahamas,2.88,75.94,80.67,4.73
10,2010,78.65,82.84,Japan,72.72,Trinidad and Tobago,2.86,76.38,80.95,4.58
11,2011,78.99,82.7,Switzerland,72.56,Bahamas,2.88,76.74,81.18,4.44
12,2012,79.16,83.1,Japan,72.75,Bahamas,2.79,76.99,81.4,4.41
13,2013,79.37,83.33,Japan,73.02,Bahamas,2.84,77.19,81.74,4.56
14,2014,79.67,83.59,Japan,73.23,Seychelles,2.88,77.46,81.91,4.45
15,2015,79.66,83.79,Japan,73.1,Bahamas,2.79,77.54,81.96,4.43
