,year,mean,max,max_countries,min,min_countries,std,25%,75%,iqr
0,2000,61.77,72.46,Viet Nam,44.69,Zimbabwe,7.39,58.23,67.62,9.39
1,2001,62.05,72.65,Viet Nam,41.96,Zimbabwe,7.59,58.2,67.92,9.72
2,2002,62.42,72.8,Viet Nam,44.56,Zimbabwe,7.46,58.67,68.36,9.69
3,2003,62.77,72.98,Viet Nam,43.39,Zimbabwe,7.46,59.11,68.35,9.24
4,2004,62.93,73.14,Viet Nam,43.71,Lesotho,7.31,58.66,68.22,9.56
5,2005,63.41,73.27,Viet Nam,43.23,Lesotho,7.3,59.64,68.76,9.12
6,2006,63.84,73.32,Viet Nam,42.91,Lesotho,7.16,60.06,69.09,9.03
7,2007,64.19,73.44,Viet Nam,43.12,Lesotho,7.07,60.44,69.56,9.12
8,2008,64.42,73.59,Jordan,43.57,Lesotho,6.98,60.48,69.94,9.45
9,2009,64.88,73.8,Jordan,44.03,Lesotho,6.64,61.25,69.63,8.38
10,2010,65.11,74.0,Jordan,45.6,Lesotho,7.01,61.29,70.63,9.34
11,2011,65.79,74.26,Cabo Verde,46.69,Lesotho,6.26,61.74,70.81,9.07
12,2012,66.17,74.48,Cabo Verde,47.84,Lesotho,6.04,62.3,70.92,8.63
13,2013,66.52,75.06,Cabo Verde,49.0,Lesotho,5.86,62.62,71.08,8.45
14,2014,66.86,75.24,Cabo Verde,50.03,Lesotho,5.73,63.0,71.18,8.18
15,2015,67.14,75.01,Jordan,51.1,Lesotho,5.59,63.23,71.25,8.02
